"Name","Team","IP","ERA","TBF","H","R","ER","HR","BB","IBB","HBP","SO","AVG","OBP","SLG","wOBA","WHIP","BABIP","HR/9","H/9","xFIP","K%","playerid"
"Blake Wood","Angels","90.1","2.79","390","89","33","28","6","43","2","2","98",".258",".344",".369",".314","1.46",".344","0.60","8.87","3.53","25.1 %","1345"
"Garrett Richards","Angels","263.1","3.28","1104","234","115","96","18","87","1","9","217",".232",".302",".338",".285","1.22",".279","0.62","8.00","3.90","19.7 %","9784"
"Cam Bedrosian","Angels","78.2","3.55","332","66","39","31","3","32","1","3","76",".222",".304",".305",".273","1.25",".289","0.34","7.55","4.14","22.9 %","13360"
"Matt Shoemaker","Angels","246.0","3.55","1021","232","102","97","38","63","3","14","241",".246",".304",".421",".314","1.20",".292","1.39","8.49","3.84","23.6 %","4776"
"Blake Parker","Angels","83.1","3.78","349","74","39","35","10","22","2","4","97",".229",".287",".388",".292","1.15",".296","1.08","7.99","3.61","27.8 %","5224"
"Jim Johnson","Angels","161.1","4.30","695","169","83","77","12","57","4","13","136",".270",".345",".369",".317","1.40",".329","0.67","9.43","3.70","19.6 %","3656"
"Tyler Skaggs","Angels","225.1","4.51","952","217","118","113","29","78","1","13","200",".252",".324",".410",".321","1.31",".297","1.16","8.67","4.01","21.0 %","10190"
"JC Ramirez","Angels","147.1","4.64","622","148","79","76","21","47","3","3","111",".259",".320",".411",".315","1.32",".289","1.28","9.04","4.26","17.9 %","8302"
"Jose Alvarez","Angels","115.2","4.67","517","128","67","60","12","47","13","4","99",".275",".348",".428",".330","1.51",".327","0.93","9.96","4.26","19.2 %","5358"
"Andrew Heaney","Angels","115.2","5.14","510","126","66","66","27","35","1","8","92",".270",".335",".505",".359","1.39",".284","2.10","9.80","4.74","18.0 %","15423"
