"Name","Team","G","AB","PA","H","1B","2B","3B","HR","R","RBI","BB","IBB","SO","HBP","SF","SH","GDP","SB","CS","AVG","BB%","K%","OBP","SLG","OPS","ISO","BABIP","wOBA","wRAA","wRC","wRC+","playerid"
"Mike Trout","Angels","722","2061","2483","633","346","129","27","131","328","371","352","46","540","43","27","0","27","77","14",".307","14.2 %","21.7 %",".414",".587","1.001",".279",".354",".420","209.5","491","174","10155"
"Justin Upton","Angels","713","2151","2419","558","321","125","8","104","239","332","230","8","651","18","19","1","48","31","9",".259","9.5 %","26.9 %",".333",".470",".803",".211",".321",".346","59.3","335","119","5222"
"Albert Pujols","Angels","691","2131","2347","556","366","82","1","107","207","383","172","27","285","19","25","0","85","5","1",".261","7.3 %","12.1 %",".318",".451",".769",".190",".255",".328","23.7","291","111","1177"
"Ian Kinsler","Angels","710","2286","2501","614","422","111","11","70","269","288","162","2","333","32","17","4","35","41","20",".269","6.5 %","13.3 %",".324",".419",".742",".150",".286",".323","16.4","301","101","6195"
"Zack Cozart","Angels","556","1661","1828","416","277","82","14","43","127","181","122","5","288","13","15","17","40","5","0",".250","6.7 %","15.8 %",".304",".394",".699",".144",".277",".303","-16.1","192","86","2616"
"Chris Young","Angels","391","876","958","196","109","50","3","34","67","105","68","2","220","10","1","3","13","11","5",".224","7.1 %","23.0 %",".287",".404",".691",".180",".260",".301","-9.8","98","88","3882"
"Andrelton Simmons","Angels","699","2128","2289","571","421","106","11","33","115","203","124","9","213","13","16","8","69","14","8",".268","5.4 %","9.3 %",".310",".375",".685",".107",".283",".299","-29.3","231","88","10847"
"Jefry Marte","Angels","124","284","316","62","36","13","0","13","28","37","20","0","74","7","3","2","7","2","0",".218","6.3 %","23.4 %",".283",".401",".685",".183",".245",".296","-5.9","31","85","5107"
"Carlos Perez","Angels","160","426","461","100","65","26","0","9","26","47","23","0","85","1","3","8","8","2","0",".235","5.0 %","18.4 %",".274",".359",".633",".124",".272",".275","-15.8","38","73","10642"
"Martin Maldonado","Angels","346","846","956","171","115","29","1","26","56","84","70","11","215","25","3","12","21","1","2",".202","7.3 %","22.5 %",".282",".331",".613",".129",".238",".268","-37.4","74","64","6887"
"Rene Rivera","Angels","307","760","834","167","116","28","2","21","33","99","46","6","215","11","8","9","14","0","1",".220","5.5 %","25.8 %",".272",".345",".616",".125",".274",".268","-31.6","64","68","3648"
