"Name","Team","IP","ERA","TBF","H","R","ER","HR","BB","IBB","HBP","SO","AVG","OBP","SLG","wOBA","WHIP","BABIP","HR/9","H/9","xFIP","K%","playerid"
"Will Harris","Astros","119.2","2.11","463","85","30","28","9","26","2","3","123",".196",".246",".291",".237","0.93",".252","0.68","6.39","2.77","26.6 %","3192"
"Ken Giles","Astros","112.1","2.40","459","83","38","30","7","40","3","1","138",".199",".272",".287",".248","1.09",".278","0.56","6.65","2.88","30.1 %","12910"
"Chris Devenski","Astros","98.0","2.48","360","59","28","27","7","22","0","3","114",".176",".234",".307",".236","0.83",".243","0.64","5.42","3.13","31.7 %","12763"
"Dallas Keuchel","Astros","209.0","2.93","809","165","75","68","16","36","1","6","208",".215",".257",".315",".252","0.96",".274","0.69","7.11","2.47","25.7 %","9434"
"Hector Rondon","Astros","127.1","2.97","531","111","49","42","12","40","4","6","110",".229",".298",".361",".287","1.19",".273","0.85","7.85","3.79","20.7 %","2391"
"Joe Smith","Astros","136.1","3.17","586","122","49","48","15","56","13","11","133",".235",".324",".369",".301","1.31",".288","0.99","8.05","4.20","22.7 %","3281"
"Justin Verlander","Astros","534.0","3.19","2198","438","203","189","57","189","7","8","548",".219",".290",".368",".288","1.17",".273","0.96","7.38","3.95","24.9 %","8700"
"Gerrit Cole","Astros","365.0","3.30","1539","364","149","134","34","108","4","16","355",".257",".319",".398",".312","1.29",".322","0.84","8.98","3.71","23.1 %","13125"
"Lance McCullers","Astros","154.2","3.32","648","137","60","57","7","50","3","7","196",".232",".300",".337",".280","1.21",".335","0.41","7.97","2.65","30.3 %","14120"
"Tony Sipp","Astros","111.1","3.56","474","97","47","44","18","43","1","5","98",".228",".309",".422",".317","1.26",".255","1.46","7.84","4.40","20.7 %","8280"
"Collin McHugh","Astros","312.2","3.71","1328","316","137","129","32","93","1","11","278",".258",".317",".403",".315","1.31",".311","0.92","9.10","3.93","20.9 %","7531"
"Charlie Morton","Astros","265.2","4.07","1182","257","137","120","20","115","6","38","259",".250",".350",".384",".326","1.40",".316","0.68","8.71","3.98","21.9 %","4676"
"Brad Peacock","Astros","192.0","4.92","875","203","115","105","30","102","4","6","190",".265",".356",".458",".355","1.59",".316","1.41","9.52","4.64","21.7 %","5401"
