"Name","Team","IP","ERA","TBF","H","R","ER","HR","BB","IBB","HBP","SO","AVG","OBP","SLG","wOBA","WHIP","BABIP","HR/9","H/9","xFIP","K%","playerid"
"Chris Devenski","Astros","91.0","2.27","364","70","24","23","8","24","3","2","90",".207",".264",".328",".256","1.03",".258","0.79","6.92","4.02","24.7 %","12763"
"Ken Giles","Astros","131.2","2.46","538","105","40","36","8","42","1","3","198",".213",".280",".332",".270","1.12",".338","0.55","7.18","2.67","36.8 %","12910"
"Joe Smith","Astros","172.2","2.55","660","134","50","49","10","29","0","7","157",".215",".260",".301",".249","0.94",".271","0.52","6.98","2.66","23.8 %","3281"
"Will Harris","Astros","142.1","3.10","581","123","51","49","15","42","3","3","154",".229",".291",".363",".285","1.16",".294","0.95","7.78","3.32","26.5 %","3192"
"Brad Peacock","Astros","191.2","3.38","774","137","80","72","21","78","0","5","198",".198",".285",".344",".281","1.12",".246","0.99","6.43","3.94","25.6 %","5401"
"Hector Rondon","Astros","169.0","3.41","684","140","70","64","18","43","3","3","193",".219",".274",".341",".269","1.08",".286","0.96","7.46","2.92","28.2 %","2391"
"Dallas Keuchel","Astros","690.1","3.66","2877","675","298","281","67","210","5","12","546",".254",".313",".390",".308","1.28",".298","0.87","8.80","3.46","19.0 %","9434"
"Gerrit Cole","Astros","417.1","3.67","1688","385","178","170","33","95","2","16","379",".244",".298",".365",".291","1.15",".302","0.71","8.30","3.26","22.5 %","13125"
"Charlie Morton","Astros","300.2","3.68","1228","276","140","123","23","77","4","22","230",".244",".308",".368",".298","1.17",".289","0.69","8.26","3.47","18.7 %","4676"
"Lance McCullers","Astros","170.2","3.85","736","163","79","73","16","78","1","9","171",".251",".340",".402",".325","1.41",".318","0.84","8.60","3.82","23.2 %","14120"
"Justin Verlander","Astros","457.1","3.99","1907","451","222","203","50","112","1","16","414",".254",".304",".396",".306","1.23",".305","0.98","8.88","4.00","21.7 %","8700"
"Collin McHugh","Astros","319.2","4.19","1342","321","153","149","38","80","3","14","300",".257",".312",".416",".315","1.25",".311","1.07","9.04","3.81","22.4 %","7531"
"Tony Sipp","Astros","112.1","4.41","475","95","58","55","18","45","6","1","148",".221",".299",".428",".310","1.25",".293","1.44","7.61","3.64","31.2 %","8280"
