"Name","Team","IP","ERA","TBF","H","R","ER","HR","BB","IBB","HBP","SO","AVG","OBP","SLG","wOBA","WHIP","BABIP","HR/9","H/9","xFIP","K%","playerid"
"Daniel Coulombe","Athletics","60.1","2.98","243","48","21","20","2","20","0","3","50",".218",".293",".292",".263","1.13",".274","0.30","7.16","3.83","20.6 %","13293"
"Sean Manaea","Athletics","63.2","3.11","253","48","25","22","5","10","0","7","53",".203",".259",".306",".249","0.91",".242","0.71","6.79","3.57","21.0 %","15873"
"Liam Hendriks","Athletics","118.1","3.57","516","128","55","47","13","35","1","2","120",".267",".320",".427",".324","1.38",".332","0.99","9.74","3.90","23.3 %","3548"
"Yusmeiro Petit","Athletics","163.1","3.69","698","161","73","67","26","57","13","1","134",".252",".315",".444",".322","1.33",".281","1.43","8.87","4.36","19.2 %","4020"
"Kendall Graveman","Athletics","207.0","3.78","891","213","90","87","20","75","3","8","134",".264",".333",".396",".318","1.39",".295","0.87","9.26","4.70","15.0 %","15514"
"Santiago Casilla","Athletics","115.1","4.21","492","103","59","54","16","52","9","4","126",".236",".327",".421",".319","1.34",".296","1.25","8.04","3.75","25.6 %","2873"
"Chris Hatcher","Athletics","86.2","4.47","361","63","45","43","11","42","7","1","86",".198",".298",".360",".284","1.21",".235","1.14","6.54","4.15","23.8 %","3299"
"Jharel Cotton","Athletics","72.0","4.50","307","63","40","36","15","34","1","1","55",".232",".323",".436",".325","1.35",".238","1.88","7.88","5.61","17.9 %","13654"
"Trevor Cahill","Athletics","205.1","4.91","929","224","116","112","22","98","8","12","156",".274",".361",".430",".346","1.57",".315","0.96","9.82","4.35","16.8 %","6249"
"Blake Treinen","Athletics","102.2","5.17","473","126","62","59","12","52","12","4","95",".302",".386",".461",".361","1.73",".368","1.05","11.05","4.10","20.1 %","12572"
