"Name","Team","G","AB","PA","H","1B","2B","3B","HR","R","RBI","BB","IBB","SO","HBP","SF","SH","GDP","SB","CS","AVG","BB%","K%","OBP","SLG","OPS","ISO","BABIP","wOBA","wRAA","wRC","wRC+","playerid"
"Stephen Piscotty","Athletics","142","268","315","77","45","20","1","11","31","32","40","3","57","6","1","0","7","2","2",".287","12.7 %","18.1 %",".390",".493",".883",".205",".328",".379","15.6","53","139","13367"
"Jake Smolinski","Athletics","107","221","251","66","45","7","3","11","24","36","25","0","31","2","3","0","6","1","1",".299","10.0 %","12.4 %",".371",".507",".877",".208",".302",".376","12.2","41","140","5408"
"Khris Davis","Athletics","288","526","601","126","61","29","1","35","77","97","60","1","161","5","10","0","17","4","1",".240","10.0 %","26.8 %",".318",".498",".816",".259",".268",".347","15.0","84","118","9112"
"Marcus Semien","Athletics","237","498","536","137","91","19","4","23","57","61","36","0","109","0","2","0","13","9","2",".275","6.7 %","20.3 %",".323",".468",".791",".193",".310",".340","10.3","72","116","12533"
"Matt Chapman","Athletics","44","82","93","20","10","6","0","4","9","12","10","0","31","0","1","0","0","0","0",".244","10.8 %","33.3 %",".323",".463",".786",".220",".333",".333","1.0","12","109","16505"
"Jonathan Lucroy","Athletics","280","580","648","158","103","36","2","17","58","79","59","7","93","1","8","0","20","4","0",".272","9.1 %","14.4 %",".336",".429",".766",".157",".295",".330","7.0","81","103","7870"
"Chad Pinder","Athletics","60","113","127","29","17","8","0","4","12","8","11","0","32","1","2","0","4","1","0",".257","8.7 %","25.2 %",".323",".434",".756",".177",".316",".324","0.3","16","103","15191"
"Jed Lowrie","Athletics","321","631","706","172","117","44","3","8","65","60","63","0","105","2","7","3","22","1","0",".273","8.9 %","14.9 %",".337",".390",".727",".117",".312",".320","3.1","83","104","4418"
"Josh Phegley","Athletics","133","273","290","69","42","17","0","10","29","31","14","0","48","1","2","0","6","0","0",".253","4.8 %","16.6 %",".290",".425",".715",".172",".272",".308","-2.0","31","94","9308"
"Mark Canha","Athletics","117","242","259","51","36","7","2","6","21","24","12","0","60","4","1","0","4","3","0",".211","4.6 %","23.2 %",".259",".331",".589",".120",".254",".258","-12.2","18","60","11445"
