"Name","Team","IP","ERA","TBF","H","R","ER","HR","BB","IBB","HBP","SO","AVG","OBP","SLG","wOBA","WHIP","BABIP","HR/9","H/9","xFIP","K%","playerid"
"Blake Treinen","Athletics","158.1","1.93","609","124","41","34","4","49","4","5","137",".223",".293",".281",".257","1.09",".290","0.23","7.05","3.09","22.5 %","12572"
"Santiago Casilla","Athletics","168.0","2.04","678","130","39","38","11","52","4","14","141",".212",".291",".304",".266","1.08",".259","0.59","6.96","3.98","20.8 %","2873"
"Ryan Dull","Athletics","90.2","2.88","340","58","35","29","14","12","1","2","91",".178",".212",".355",".238","0.77",".199","1.39","5.76","3.86","26.8 %","13974"
"Ryan Buchter","Athletics","82.0","3.18","334","52","31","29","10","40","4","3","91",".179",".284",".339",".271","1.12",".221","1.10","5.71","4.86","27.3 %","9456"
"Yusmeiro Petit","Athletics","231.0","3.51","894","193","94","90","22","24","2","2","255",".222",".246",".358",".260","0.94",".289","0.86","7.52","3.20","28.5 %","4020"
"Andrew Triggs","Athletics","67.2","3.99","290","73","38","30","8","15","0","4","58",".269",".319",".410",".315","1.30",".317","1.06","9.71","3.74","20.0 %","13533"
"Trevor Cahill","Athletics","245.0","4.19","1058","226","129","114","27","118","1","8","240",".242",".338",".389",".322","1.40",".299","0.99","8.30","3.63","22.7 %","6249"
"Sean Manaea","Athletics","239.2","4.39","1033","254","128","117","33","82","2","7","211",".269",".333",".450",".335","1.40",".316","1.24","9.54","4.44","20.4 %","15873"
"Kendall Graveman","Athletics","204.2","4.44","859","227","106","101","29","42","0","8","125",".281",".324",".451",".332","1.31",".302","1.28","9.98","4.03","14.6 %","15514"
"Chris Hatcher","Athletics","117.1","4.53","519","138","64","59","16","29","3","3","132",".283",".328",".459",".337","1.42",".360","1.23","10.59","3.58","25.4 %","3299"
"Liam Hendriks","Athletics","155.0","4.99","660","162","93","86","16","34","4","7","157",".262",".308",".392",".302","1.26",".327","0.93","9.41","3.50","23.8 %","3548"
"Jharel Cotton","Athletics","86.1","5.32","371","90","61","51","17","23","0","3","73",".261",".314",".485",".337","1.31",".286","1.77","9.38","4.83","19.7 %","13654"
"Daniel Mengden","Athletics","60.0","5.70","258","58","39","38","9","22","0","3","48",".249",".325",".406",".319","1.33",".278","1.35","8.70","4.91","18.6 %","16980"
