"Name","Team","G","AB","PA","H","1B","2B","3B","HR","R","RBI","BB","IBB","SO","HBP","SF","SH","GDP","SB","CS","AVG","BB%","K%","OBP","SLG","OPS","ISO","BABIP","wOBA","wRAA","wRC","wRC+","playerid"
"Josh Donaldson","Blue Jays","328","660","781","195","90","51","3","51","121","133","109","7","117","6","6","0","15","2","0",".295","14.0 %","15.0 %",".397",".614","1.011",".318",".289",".425","68.6","157","175","5038"
"Troy Tulowitzki","Blue Jays","236","462","532","141","92","26","0","23","57","73","60","10","87","6","4","0","14","0","1",".305","11.3 %","16.4 %",".389",".511",".900",".206",".331",".385","28.9","89","136","3531"
"Steve Pearce","Blue Jays","228","454","517","118","61","29","1","27","50","69","52","6","92","9","2","0","18","1","0",".260","10.1 %","17.8 %",".346",".507",".853",".247",".270",".364","20.1","79","131","9957"
"Kendrys Morales","Blue Jays","435","890","972","268","184","50","1","33","67","150","70","9","165","6","6","0","31","0","0",".301","7.2 %","17.0 %",".354",".471",".825",".170",".337",".354","31.1","141","124","8610"
"Devon Travis","Blue Jays","89","189","198","55","36","11","0","8","21","25","8","0","34","0","1","0","5","0","0",".291","4.0 %","17.2 %",".318",".476",".794",".185",".318",".339","3.5","27","112","13862"
"Kevin Pillar","Blue Jays","271","512","546","151","97","44","0","10","47","47","26","1","85","4","3","1","9","8","2",".295","4.8 %","15.6 %",".332",".439",".772",".145",".336",".332","7.2","70","107","12434"
"Randal Grichuk","Blue Jays","207","394","423","94","49","21","3","21","40","46","26","1","114","2","0","1","6","3","1",".239","6.1 %","27.0 %",".289",".467",".756",".228",".282",".322","1.9","51","102","10243"
"Russell Martin","Blue Jays","267","431","528","96","67","15","0","14","54","57","86","3","119","6","3","2","16","3","2",".223","16.3 %","22.5 %",".357",".355",".712",".132",".272",".322","2.6","63","103","4616"
"Justin Smoak","Blue Jays","272","503","558","121","80","23","0","18","41","61","52","0","110","1","2","0","18","0","0",".241","9.3 %","19.7 %",".312",".394",".705",".153",".273",".310","-1.8","62","95","9054"
"Yangervis Solarte","Blue Jays","262","509","561","130","88","30","1","11","49","61","37","1","67","6","7","2","22","0","0",".255","6.6 %","11.9 %",".309",".383",".693",".128",".272",".303","-5.9","58","92","5352"
"Aledmys Diaz","Blue Jays","92","172","192","43","29","11","0","3","16","11","18","2","27","0","1","1","3","5","3",".250","9.4 %","14.1 %",".319",".366",".686",".116",".280",".297","-3.5","19","83","15937"
"Luke Maile","Blue Jays","50","95","98","21","14","5","0","2","8","9","1","0","26","1","0","1","2","0","0",".221","1.0 %","26.5 %",".237",".337",".574",".116",".284",".247","-5.8","6","51","13355"
