"Name","Team","IP","ERA","TBF","H","R","ER","HR","BB","IBB","HBP","SO","AVG","OBP","SLG","wOBA","WHIP","BABIP","HR/9","H/9","xFIP","K%","playerid"
"Roberto Osuna","Blue Jays","108.1","2.24","407","69","30","27","7","18","2","2","131",".178",".219",".288",".219","0.80",".249","0.58","5.73","3.03","32.2 %","13764"
"Seung Hwan Oh","Blue Jays","80.2","2.79","323","67","27","25","7","17","3","0","104",".219",".262",".334",".253","1.04",".308","0.78","7.48","3.14","32.2 %","18719"
"Aaron Sanchez","Blue Jays","186.0","2.81","730","146","67","58","9","47","0","6","137",".216",".273",".300",".255","1.04",".258","0.44","7.06","3.54","18.8 %","11490"
"Ryan Tepera","Blue Jays","76.2","3.64","306","63","35","31","8","16","2","6","65",".222",".278",".346",".272","1.03",".261","0.94","7.40","3.93","21.2 %","10291"
"J.A. Happ","Blue Jays","594.0","3.71","2506","568","262","245","71","196","4","10","512",".247",".309",".401",".310","1.29",".289","1.08","8.61","4.15","20.4 %","7410"
"Marcus Stroman","Blue Jays","280.1","3.79","1148","288","129","118","30","60","1","6","234",".266",".308",".399",".306","1.24",".315","0.96","9.25","3.25","20.4 %","13431"
"Jaime Garcia","Blue Jays","437.1","3.95","1828","412","208","192","48","150","7","6","344",".246",".313",".402",".310","1.29",".284","0.99","8.48","3.81","18.8 %","8137"
"Aaron Loup","Blue Jays","150.0","4.38","652","152","76","73","16","61","13","8","144",".261",".341",".416",".325","1.42",".322","0.96","9.12","3.93","22.1 %","10343"
"Marco Estrada","Blue Jays","403.0","4.40","1714","379","205","197","61","141","1","7","372",".242",".308",".430",".320","1.29",".281","1.36","8.46","4.59","21.7 %","1118"
"Joe Biagini","Blue Jays","111.1","4.45","469","106","61","55","10","36","0","5","80",".248",".314",".381",".303","1.28",".284","0.81","8.57","4.23","17.1 %","13194"
