"Name","Team","G","AB","PA","H","1B","2B","3B","HR","R","RBI","BB","IBB","SO","HBP","SF","SH","GDP","SB","CS","AVG","BB%","K%","OBP","SLG","OPS","ISO","BABIP","wOBA","wRAA","wRC","wRC+","playerid"
"Josh Donaldson","Blue Jays","716","2139","2489","594","361","111","9","113","256","358","301","7","486","25","19","5","53","14","2",".278","12.1 %","19.5 %",".370",".496",".867",".219",".309",".374","118.4","401","139","5038"
"Troy Tulowitzki","Blue Jays","510","1518","1693","426","277","77","1","71","176","236","145","6","310","15","15","0","40","3","1",".281","8.6 %","18.3 %",".346",".473",".819",".192",".308",".354","51.2","243","115","3531"
"Aledmys Diaz","Blue Jays","176","518","569","152","94","34","3","21","60","74","36","5","75","7","6","2","16","0","1",".293","6.3 %","13.2 %",".344",".492",".836",".199",".306",".352","15.5","84","120","15937"
"Steve Pearce","Blue Jays","351","874","979","231","143","47","2","39","82","105","87","1","200","14","4","0","13","2","2",".264","8.9 %","20.4 %",".339",".457",".796",".192",".300",".346","23.5","136","118","9957"
"Teoscar Hernandez","Blue Jays","49","126","138","31","13","10","0","8","17","21","11","1","39","0","1","0","4","0","2",".246","8.0 %","28.3 %",".304",".516",".820",".270",".288",".340","2.4","19","113","13066"
"Devon Travis","Blue Jays","204","624","670","182","112","53","1","16","77","84","37","0","134","4","3","2","10","7","1",".292","5.5 %","20.0 %",".334",".457",".791",".165",".348",".339","11.7","90","112","13862"
"Russell Martin","Blue Jays","557","1589","1845","392","245","77","2","68","154","251","198","6","404","42","13","3","60","9","5",".247","10.7 %","21.9 %",".343",".426",".769",".179",".287",".337","32.6","242","114","4616"
"Randal Grichuk","Blue Jays","348","897","963","227","109","62","11","45","92","136","55","4","301","7","4","0","22","8","5",".253","5.7 %","31.3 %",".300",".497",".797",".244",".328",".335","13.7","127","110","10243"
"Kevin Pillar","Blue Jays","487","1427","1530","360","253","72","5","30","108","124","67","0","242","16","9","11","28","20","3",".252","4.4 %","15.8 %",".292",".373",".664",".121",".284",".289","-35.4","143","78","12434"
"Luke Maile","Blue Jays","80","189","199","31","18","10","0","3","5","15","6","1","53","1","1","2","5","0","0",".164","3.0 %","26.6 %",".193",".265",".457",".101",".209",".196","-20.3","3","15","13355"
