"Name","Team","IP","ERA","TBF","H","R","ER","HR","BB","IBB","HBP","SO","AVG","OBP","SLG","wOBA","WHIP","BABIP","HR/9","H/9","xFIP","K%","playerid"
"Peter Moylan","Braves","103.0","2.53","408","75","33","29","6","27","1","5","78",".199",".263",".286",".244","0.99",".236","0.52","6.55","3.63","19.1 %","4891"
"Sam Freeman","Braves","90.1","2.79","396","73","30","28","4","53","2","2","80",".214",".323",".290",".280","1.39",".268","0.40","7.27","4.36","20.2 %","6832"
"Julio Teheran","Braves","510.0","2.88","2015","417","178","163","49","93","8","23","496",".220",".268",".342",".267","1.00",".272","0.86","7.36","3.49","24.6 %","6797"
"Arodys Vizcaino","Braves","74.0","3.04","307","65","30","25","8","22","2","3","82",".230",".296",".358",".286","1.18",".297","0.97","7.91","3.54","26.7 %","5498"
"Chase Whitley","Braves","88.1","4.08","367","87","43","40","8","17","1","6","76",".253",".300",".396",".303","1.18",".304","0.82","8.86","4.06","20.7 %","10982"
"Rex Brothers","Braves","96.2","4.28","432","93","52","46","10","56","5","2","102",".249",".351",".393",".328","1.54",".317","0.93","8.66","4.03","23.6 %","9794"
"Sean Newcomb","Braves","71.1","4.42","327","71","37","35","9","45","6","1","76",".253",".363",".427",".337","1.63",".316","1.14","8.96","4.81","23.2 %","16943"
"Brandon McCarthy","Braves","238.1","4.53","1002","252","129","120","34","53","4","9","181",".268",".317",".440",".329","1.28",".301","1.28","9.52","3.58","18.1 %","4662"
"Mike Foltynewicz","Braves","206.1","4.54","888","213","114","104","26","59","1","14","192",".261",".328",".426",".326","1.32",".313","1.13","9.29","3.95","21.6 %","10811"
"Jose Ramirez","Braves","66.2","4.86","292","63","40","36","8","28","3","10","53",".248",".347",".442",".338","1.37",".285","1.08","8.51","5.26","18.2 %","10171"
