"Name","Team","G","AB","PA","H","1B","2B","3B","HR","R","RBI","BB","IBB","SO","HBP","SF","SH","GDP","SB","CS","AVG","BB%","K%","OBP","SLG","OPS","ISO","BABIP","wOBA","wRAA","wRC","wRC+","playerid"
"Lane Adams","Braves","65","84","90","26","16","4","1","5","8","20","5","0","25","0","1","0","3","4","0",".310","5.6 %","27.8 %",".344",".560",".904",".250",".382",".376","4.3","15","132","10767"
"Tyler Flowers","Braves","443","1204","1334","298","200","55","1","42","75","150","81","1","407","38","8","3","30","0","1",".248","6.1 %","30.5 %",".313",".400",".713",".152",".336",".313","-1.5","150","95","9134"
"Kurt Suzuki","Braves","489","1297","1435","324","228","68","2","26","62","170","89","8","161","28","14","7","31","2","0",".250","6.2 %","11.2 %",".309",".365",".674",".116",".265",".295","-22.2","140","82","8259"
"Peter Bourjos","Braves","376","784","871","184","119","37","16","12","58","62","50","4","207","17","4","16","18","10","6",".235","5.7 %","23.8 %",".294",".369",".662",".134",".302",".289","-18.9","80","80","2578"
"Dansby Swanson","Braves","174","505","569","122","91","23","2","6","27","53","57","11","126","0","6","1","9","3","0",".242","10.0 %","22.1 %",".315",".331",".646",".089",".306",".279","-19.9","49","68","18314"
"Charlie Culberson","Braves","122","230","252","52","39","8","1","4","15","28","13","2","70","4","1","4","7","4","2",".226","5.2 %","27.8 %",".278",".322",".600",".096",".306",".266","-9.0","19","51","3298"
"Chris Stewart","Braves","252","617","691","142","119","17","1","5","19","41","46","5","114","14","2","12","11","1","0",".230","6.7 %","16.5 %",".297",".285",".583",".055",".274",".263","-29.0","49","62","3878"
"Julio Teheran","Braves","120","210","247","33","29","4","0","0","3","12","2","0","58","0","0","35","1","0","0",".157","0.8 %","23.5 %",".165",".176",".341",".019",".217",".151","-32.7","-5","-15","6797"
"Brandon McCarthy","Braves","53","90","105","6","6","0","0","0","1","5","7","0","40","0","0","8","0","0","0",".067","6.7 %","38.1 %",".134",".067",".201",".000",".120",".105","-17.4","-6","-46","4662"
"Mike Foltynewicz","Braves","51","94","105","8","6","2","0","0","0","4","1","0","57","0","1","9","1","0","0",".085","1.0 %","54.3 %",".094",".106",".200",".021",".211",".088","-20.0","-8","-58","10811"
