"Name","Team","G","AB","PA","H","1B","2B","3B","HR","R","RBI","BB","IBB","SO","HBP","SF","SH","GDP","SB","CS","AVG","BB%","K%","OBP","SLG","OPS","ISO","BABIP","wOBA","wRAA","wRC","wRC+","playerid"
"Ryan Braun","Brewers","545","1603","1769","439","273","86","7","73","188","265","145","19","362","15","6","0","60","22","12",".274","8.2 %","20.5 %",".339",".473",".811",".199",".312",".347","45.8","247","115","3410"
"Domingo Santana","Brewers","260","677","778","170","104","31","0","35","77","98","83","0","258","13","5","0","17","12","3",".251","10.7 %","33.2 %",".342",".452",".794",".201",".347",".342","15.6","108","109","10348"
"Manny Pina","Brewers","118","282","307","78","50","17","0","11","27","38","20","0","66","2","2","1","8","1","1",".277","6.5 %","21.5 %",".327",".454",".781",".177",".324",".333","3.3","40","102","2829"
"Lorenzo Cain","Brewers","587","1742","1901","498","378","74","15","31","90","193","122","1","370","21","16","0","58","21","3",".286","6.4 %","19.5 %",".337",".399",".736",".113",".344",".322","10.5","228","101","9077"
"Jesus Aguilar","Brewers","119","207","227","48","26","10","1","11","19","37","14","0","70","4","2","0","8","0","0",".232","6.2 %","30.8 %",".291",".449",".740",".217",".289",".313","-1.0","26","89","11342"
"Orlando Arcia","Brewers","193","544","581","142","101","20","4","17","34","55","31","7","112","1","3","2","13","10","4",".261","5.3 %","19.3 %",".301",".406",".707",".145",".299",".298","-10.3","60","79","13185"
"Hernan Perez","Brewers","318","777","823","193","142","29","3","19","62","74","33","1","162","1","4","8","19","25","4",".248","4.0 %","19.7 %",".279",".367",".645",".118",".290",".278","-27.0","70","67","5751"
"Jett Bandy","Brewers","109","292","321","64","46","9","0","9","20","30","17","0","69","7","3","2","8","1","0",".219","5.3 %","21.5 %",".276",".342",".618",".123",".253",".271","-13.1","25","65","12508"
"Jhoulys Chacin","Brewers","62","105","119","23","19","3","0","1","2","10","4","0","24","0","2","8","3","0","0",".219","3.4 %","20.2 %",".243",".276",".519",".057",".268",".229","-8.4","5","28","2608"
"Zach Davies","Brewers","53","81","104","9","7","2","0","0","3","2","6","0","30","0","0","17","1","0","0",".111","5.8 %","28.8 %",".172",".136",".308",".025",".176",".147","-14.5","-2","-17","13183"
"Jimmy Nelson","Brewers","79","136","149","13","12","1","0","0","3","5","4","0","85","0","0","9","0","0","0",".096","2.7 %","57.0 %",".121",".103",".224",".007",".255",".104","-25.7","-8","-48","10547"
"Chase Anderson","Brewers","79","145","158","12","11","1","0","0","2","4","0","0","73","1","0","12","2","0","0",".083","0.0 %","46.2 %",".089",".090",".179",".007",".167",".080","-30.4","-12","-67","6895"
