"Name","Team","IP","ERA","TBF","H","R","ER","HR","BB","IBB","HBP","SO","AVG","OBP","SLG","wOBA","WHIP","BABIP","HR/9","H/9","xFIP","K%","playerid"
"Brian Duensing","Cubs","102.2","2.54","442","108","29","29","6","27","3","7","92",".265",".324",".382",".309","1.31",".329","0.53","9.47","3.77","20.8 %","4064"
"Kyle Hendricks","Cubs","261.1","2.62","1077","236","85","76","29","79","4","11","226",".239",".305",".385",".301","1.21",".283","1.00","8.13","3.86","21.0 %","12049"
"Steve Cishek","Cubs","132.0","3.00","570","112","47","44","12","61","11","6","159",".223",".315",".357",".293","1.31",".301","0.82","7.64","3.53","27.9 %","6483"
"Pedro Strop","Cubs","114.1","3.15","481","78","44","40","8","60","10","4","125",".187",".298",".306",".267","1.21",".246","0.63","6.14","3.58","26.0 %","4070"
"Drew Smyly","Cubs","130.2","3.17","495","92","46","46","12","21","0","2","143",".195",".233",".321",".242","0.86",".252","0.83","6.34","2.98","28.9 %","11760"
"Jon Lester","Cubs","238.0","3.25","943","204","93","86","20","43","0","6","262",".228",".269",".358",".274","1.04",".301","0.76","7.71","2.71","27.8 %","4930"
"Mike Montgomery","Cubs","93.2","3.27","381","79","38","34","7","34","1","5","74",".231",".311",".354",".294","1.21",".276","0.67","7.59","3.80","19.4 %","4869"
"Jose Quintana","Cubs","241.1","3.69","995","228","103","99","17","54","3","8","222",".244",".293",".372",".290","1.17",".304","0.63","8.50","3.47","22.3 %","11423"
"Yu Darvish","Cubs","348.2","3.72","1480","310","150","144","47","134","2","9","434",".232",".306",".392",".307","1.27",".307","1.21","8.00","3.17","29.3 %","13074"
"Justin Wilson","Cubs","103.2","3.82","436","97","46","44","6","38","0","4","108",".246",".320",".338",".294","1.30",".325","0.52","8.42","3.38","24.8 %","4301"
"Tyler Chatwood","Cubs","219.2","4.34","945","213","115","106","24","110","5","5","160",".257",".348",".411",".331","1.47",".293","0.98","8.73","4.39","16.9 %","4338"
"Brandon Morrow","Cubs","85.2","4.94","371","85","51","47","15","37","1","0","75",".254",".331",".473",".348","1.42",".287","1.58","8.93","4.34","20.2 %","9346"
"Eddie Butler","Cubs","93.2","5.48","442","117","64","57","16","57","5","5","52",".308",".410",".538",".403","1.86",".324","1.54","11.24","5.75","11.8 %","13453"
