"Name","Team","IP","ERA","TBF","H","R","ER","HR","BB","IBB","HBP","SO","AVG","OBP","SLG","wOBA","WHIP","BABIP","HR/9","H/9","xFIP","K%","playerid"
"Steve Cishek","Cubs","167.0","2.64","661","124","55","49","9","44","3","5","164",".203",".265",".293",".248","1.01",".262","0.49","6.68","3.21","24.8 %","6483"
"Yu Darvish","Cubs","292.1","2.74","1148","208","98","89","31","84","2","10","366",".197",".264",".333",".263","1.00",".269","0.95","6.40","3.15","31.9 %","13074"
"Brandon Morrow","Cubs","94.2","2.95","383","94","33","31","4","18","2","2","78",".259",".299",".360",".287","1.18",".320","0.38","8.94","3.47","20.4 %","9346"
"Pedro Strop","Cubs","179.2","3.01","724","118","67","60","12","61","3","17","218",".183",".273",".286",".253","1.00",".255","0.60","5.91","2.94","30.1 %","4070"
"Justin Wilson","Cubs","207.2","3.08","858","152","74","71","16","92","9","6","223",".200",".293",".314",".270","1.17",".261","0.69","6.59","3.75","26.0 %","4301"
"Kyle Hendricks","Cubs","328.2","3.20","1298","270","123","117","24","63","3","11","281",".221",".267",".325",".260","1.01",".268","0.66","7.39","3.34","21.7 %","12049"
"Jon Lester","Cubs","783.1","3.23","3232","715","318","281","78","231","3","23","719",".240",".301",".381",".299","1.21",".292","0.90","8.21","3.69","22.3 %","4930"
"Jose Quintana","Cubs","762.0","3.44","3156","737","316","291","77","209","11","21","685",".252",".307",".395",".306","1.24",".305","0.91","8.70","3.78","21.7 %","11423"
"Mike Montgomery","Cubs","227.0","3.53","968","195","96","89","22","96","6","17","182",".228",".320",".357",".299","1.28",".266","0.87","7.73","4.28","18.8 %","4869"
"Tyler Chatwood","Cubs","221.1","3.66","932","209","96","90","20","86","4","10","163",".250",".329",".394",".316","1.33",".289","0.81","8.50","4.02","17.5 %","4338"
"Drew Smyly","Cubs","340.1","3.89","1439","338","158","147","53","107","5","3","315",".254",".313",".444",".326","1.31",".297","1.40","8.94","4.22","21.9 %","11760"
"Brian Duensing","Cubs","137.0","4.34","576","129","68","66","17","57","9","2","92",".250",".328",".405",".317","1.36",".275","1.12","8.47","4.59","16.0 %","4064"
"Eddie Butler","Cubs","120.1","6.13","534","145","86","82","16","41","3","4","72",".297",".360",".492",".364","1.55",".322","1.20","10.84","4.55","13.5 %","13453"
