"Name","Team","IP","ERA","TBF","H","R","ER","HR","BB","IBB","HBP","SO","AVG","OBP","SLG","wOBA","WHIP","BABIP","HR/9","H/9","xFIP","K%","playerid"
"Andrew Chafin","Diamondbacks","69.0","2.61","279","49","20","20","2","25","1","3","66",".195",".281",".270",".250","1.07",".257","0.26","6.39","3.22","23.7 %","12988"
"Zack Greinke","Diamondbacks","464.1","2.77","1893","417","152","143","47","117","6","7","423",".236",".287",".369",".286","1.15",".285","0.91","8.08","3.42","22.4 %","1943"
"Brad Boxberger","Diamondbacks","104.2","3.18","414","68","40","37","11","40","5","3","123",".183",".271",".301",".252","1.03",".241","0.95","5.85","3.40","29.7 %","10133"
"Jorge de la Rosa","Diamondbacks","166.0","3.52","686","141","70","65","11","58","2","3","162",".226",".296",".334",".279","1.20",".288","0.60","7.64","3.51","23.6 %","2047"
"T.J. McFarland","Diamondbacks","111.2","3.55","464","115","48","44","7","23","1","6","88",".264",".314",".378",".304","1.24",".318","0.56","9.27","2.94","19.0 %","3237"
"Zack Godley","Diamondbacks","123.2","3.64","526","107","52","50","11","57","3","5","120",".231",".326",".380",".308","1.33",".288","0.80","7.79","3.72","22.8 %","14862"
"Patrick Corbin","Diamondbacks","150.0","3.78","606","121","70","63","16","46","0","2","186",".217",".281",".357",".279","1.11",".295","0.96","7.26","2.59","30.7 %","9323"
"Archie Bradley","Diamondbacks","117.1","3.91","551","128","52","51","11","74","7","3","114",".270",".373",".418",".343","1.72",".335","0.84","9.82","4.53","20.7 %","12918"
"Robbie Ray","Diamondbacks","119.2","4.06","490","115","61","54","11","27","1","4","147",".251",".300",".396",".301","1.19",".346","0.83","8.65","2.61","30.0 %","11486"
"Taijuan Walker","Diamondbacks","268.2","4.15","1124","235","141","124","40","95","5","9","246",".230",".303",".413",".308","1.23",".266","1.34","7.87","4.11","21.9 %","11836"
"Fernando Salas","Diamondbacks","125.1","4.16","518","114","59","58","14","34","12","1","124",".236",".291",".382",".283","1.18",".290","1.01","8.19","3.55","23.9 %","4971"
"Shelby Miller","Diamondbacks","323.2","4.31","1436","345","165","155","41","141","10","3","245",".267",".342",".434",".337","1.50",".302","1.14","9.59","4.75","17.1 %","10197"
