"Name","Team","IP","ERA","TBF","H","R","ER","HR","BB","IBB","HBP","SO","AVG","OBP","SLG","wOBA","WHIP","BABIP","HR/9","H/9","xFIP","K%","playerid"
"Zack Greinke","Diamondbacks","499.1","2.88","1956","406","174","160","47","98","2","7","481",".219",".264",".358",".271","1.01",".271","0.85","7.32","3.21","24.6 %","1943"
"Shelby Miller","Diamondbacks","361.0","3.19","1469","297","142","128","29","116","6","12","312",".221",".293",".345",".283","1.14",".268","0.72","7.40","3.83","21.2 %","10197"
"Brad Boxberger","Diamondbacks","98.2","3.38","433","85","39","37","17","55","4","6","141",".228",".340",".404",".328","1.42",".318","1.55","7.75","3.51","32.6 %","10133"
"Taijuan Walker","Diamondbacks","245.2","3.77","1059","247","121","103","31","65","6","20","222",".254",".316",".419",".316","1.27",".300","1.14","9.05","4.09","21.0 %","11836"
"Robbie Ray","Diamondbacks","373.0","4.08","1632","350","183","169","50","175","9","15","427",".243",".333",".415",".325","1.41",".311","1.21","8.45","4.04","26.2 %","11486"
"Patrick Corbin","Diamondbacks","488.2","4.13","2138","544","251","224","62","152","11","17","379",".276",".336",".453",".339","1.42",".315","1.14","10.02","4.12","17.7 %","9323"
"Fernando Salas","Diamondbacks","157.1","4.23","664","154","83","74","21","39","5","4","153",".248",".301",".440",".314","1.23",".298","1.20","8.81","4.08","23.0 %","4971"
"Archie Bradley","Diamondbacks","133.0","4.40","538","117","69","65","12","36","4","4","131",".235",".293",".381",".288","1.15",".296","0.81","7.92","3.52","24.4 %","12918"
"Andrew Chafin","Diamondbacks","94.0","4.40","406","90","48","46","7","45","10","2","91",".251",".340",".375",".307","1.44",".318","0.67","8.62","3.83","22.4 %","12988"
"Jorge de la Rosa","Diamondbacks","520.1","4.48","2264","530","280","259","68","220","15","25","376",".263",".347",".440",".342","1.44",".293","1.18","9.17","4.40","16.6 %","2047"
"Zack Godley","Diamondbacks","142.2","4.67","586","132","76","74","21","38","4","7","139",".244",".306",".421",".310","1.19",".291","1.32","8.33","3.65","23.7 %","14862"
"T.J. McFarland","Diamondbacks","140.2","5.25","663","188","98","82","13","63","19","2","66",".314",".383",".447",".354","1.78",".337","0.83","12.03","4.86","10.0 %","3237"
