"Name","Team","IP","ERA","TBF","H","R","ER","HR","BB","IBB","HBP","SO","AVG","OBP","SLG","wOBA","WHIP","BABIP","HR/9","H/9","xFIP","K%","playerid"
"Clayton Kershaw","Dodgers","212.0","1.78","797","143","46","42","15","28","0","4","281",".187",".222",".290",".225","0.81",".273","0.64","6.07","1.98","35.3 %","2036"
"Ross Stripling","Dodgers","79.2","2.15","318","62","20","19","6","24","7","0","66",".211",".271",".342",".258","1.08",".252","0.68","7.00","3.69","20.8 %","13273"
"Kenley Jansen","Dodgers","148.0","2.61","600","126","44","43","12","30","1","4","202",".223",".268",".333",".264","1.05",".324","0.73","7.66","2.36","33.7 %","3096"
"Alex Wood","Dodgers","168.2","2.77","698","155","58","52","8","41","0","5","168",".238",".290",".327",".274","1.16",".309","0.43","8.27","2.88","24.1 %","13781"
"Pedro Baez","Dodgers","77.0","3.04","319","56","28","26","9","30","3","1","75",".194",".274",".360",".274","1.12",".230","1.05","6.55","4.35","23.5 %","5420"
"Tony Cingrani","Dodgers","97.2","3.32","394","76","40","36","12","33","1","7","111",".215",".296",".396",".301","1.12",".277","1.11","7.00","3.57","28.2 %","12555"
"Rich Hill","Dodgers","83.0","3.69","363","71","36","34","7","46","2","9","87",".231",".349",".329",".307","1.41",".299","0.76","7.70","4.58","24.0 %","4806"
"Hyun-Jin Ryu","Dodgers","113.1","3.73","494","132","50","47","14","28","2","4","90",".286",".334",".446",".338","1.41",".330","1.11","10.48","3.69","18.2 %","14444"
"Kenta Maeda","Dodgers","144.1","3.74","616","140","63","60","22","53","6","7","114",".252",".326",".427",".321","1.34",".281","1.37","8.73","4.83","18.5 %","18498"
"Tom Koehler","Dodgers","384.2","4.26","1676","370","197","182","48","183","10","14","309",".250",".339",".406",".327","1.44",".287","1.12","8.66","4.65","18.4 %","6570"
"Josh Fields","Dodgers","95.0","5.78","415","94","63","61","12","35","9","3","89",".249",".319",".434",".318","1.36",".297","1.14","8.91","4.60","21.5 %","5070"
