"Name","Team","IP","ERA","TBF","H","R","ER","HR","BB","IBB","HBP","SO","AVG","OBP","SLG","wOBA","WHIP","BABIP","HR/9","H/9","xFIP","K%","playerid"
"Kenley Jansen","Dodgers","183.1","1.52","669","89","31","31","14","33","4","5","303",".141",".191",".242",".191","0.67",".239","0.69","4.37","1.88","45.3 %","3096"
"Clayton Kershaw","Dodgers","779.0","2.00","2973","556","193","173","51","138","4","8","865",".197",".238",".295",".235","0.89",".264","0.59","6.42","2.56","29.1 %","2036"
"Josh Fields","Dodgers","140.1","2.76","566","109","48","43","14","45","4","2","190",".210",".277",".357",".275","1.10",".302","0.90","6.99","3.16","33.6 %","5070"
"Scott Alexander","Dodgers","65.1","2.89","267","59","21","21","3","27","0","0","52",".246",".323",".333",".292","1.32",".303","0.41","8.13","3.46","19.5 %","10591"
"Rich Hill","Dodgers","236.0","2.90","945","164","81","76","20","76","6","13","304",".192",".269",".298",".251","1.02",".271","0.76","6.25","3.28","32.2 %","4806"
"Pedro Baez","Dodgers","136.0","3.04","556","115","52","46","18","37","1","4","150",".223",".283",".394",".291","1.12",".280","1.19","7.61","3.56","27.0 %","5420"
"Hyun-Jin Ryu","Dodgers","362.0","3.31","1485","338","141","133","32","97","8","4","323",".244",".298",".376",".295","1.20",".297","0.80","8.40","3.47","21.8 %","14444"
"Alex Wood","Dodgers","483.0","3.35","1993","449","195","180","46","148","12","15","435",".245",".311",".376",".301","1.24",".299","0.86","8.37","3.64","21.8 %","13781"
"Julio Urias","Dodgers","78.2","3.43","334","79","33","30","3","31","1","1","69",".262",".337",".354",".306","1.40",".330","0.34","9.04","4.13","20.7 %","14765"
"Kenta Maeda","Dodgers","165.2","3.86","657","131","77","71","20","31","1","6","205",".211",".257",".351",".262","0.98",".281","1.09","7.12","2.87","31.2 %","18498"
"Tony Cingrani","Dodgers","209.1","4.30","908","183","103","100","32","119","6","3","210",".233",".339",".419",".332","1.44",".278","1.38","7.87","4.48","23.1 %","12555"
"Tom Koehler","Dodgers","386.1","4.50","1636","386","203","193","42","137","5","16","282",".260",".333",".422",".329","1.35",".297","0.98","8.99","4.37","17.2 %","6570"
"Ross Stripling","Dodgers","94.2","5.32","405","103","57","56","14","25","0","1","82",".272",".322",".449",".329","1.35",".314","1.33","9.79","3.87","20.3 %","13273"
