"Name","Team","G","AB","PA","H","1B","2B","3B","HR","R","RBI","BB","IBB","SO","HBP","SF","SH","GDP","SB","CS","AVG","BB%","K%","OBP","SLG","OPS","ISO","BABIP","wOBA","wRAA","wRC","wRC+","playerid"
"Justin Turner","Dodgers","525","1278","1442","395","253","89","4","49","106","198","109","4","222","37","15","3","32","7","1",".309","7.6 %","15.4 %",".376",".500",".876",".191",".339",".376","69.7","236","141","5235"
"Yasiel Puig","Dodgers","544","1517","1694","438","275","83","16","64","149","211","141","9","355","26","9","1","33","18","7",".289","8.3 %","21.0 %",".357",".491",".848",".202",".338",".365","67.2","260","134","14225"
"Austin Barnes","Dodgers","97","149","178","42","32","6","2","2","17","18","26","1","35","2","0","1","2","0","1",".282","14.6 %","19.7 %",".395",".389",".785",".107",".357",".348","4.4","26","118","12158"
"Matt Kemp","Dodgers","619","1883","2035","509","310","113","5","81","187","295","124","3","504","7","21","0","65","10","2",".270","6.1 %","24.8 %",".314",".465",".779",".194",".324",".334","29.5","262","112","5631"
"Trayce Thompson","Dodgers","111","263","296","61","35","12","0","14","32","36","33","0","78","0","0","0","3","2","0",".232","11.1 %","26.4 %",".318",".437",".755",".205",".275",".327","2.3","37","106","9952"
"Chris Taylor","Dodgers","208","554","610","146","94","30","4","18","47","74","49","1","155","5","1","1","5","13","3",".264","8.0 %","25.4 %",".328",".430",".758",".166",".335",".327","4.7","77","104","13757"
"Logan Forsythe","Dodgers","513","1310","1488","315","233","48","3","31","83","114","142","3","327","26","9","1","36","10","3",".240","9.5 %","22.0 %",".325",".353",".677",".112",".296",".302","-16.6","154","91","7185"
"Enrique Hernandez","Dodgers","254","454","496","94","62","20","3","9","32","38","35","0","122","2","3","2","6","3","0",".207","7.1 %","24.6 %",".265",".324",".589",".117",".261",".261","-23.1","34","63","10472"
"Hyun-Jin Ryu","Dodgers","48","87","105","13","8","5","0","0","4","3","4","0","38","1","0","13","0","0","0",".149","3.8 %","36.2 %",".196",".207",".403",".057",".265",".184","-10.7","1","12","14444"
"Kenta Maeda","Dodgers","47","75","87","9","6","2","0","1","2","7","1","0","17","0","0","11","2","0","0",".120","1.1 %","19.5 %",".132",".187",".318",".067",".140",".137","-13.2","-3","-21","18498"
"Alex Wood","Dodgers","79","143","160","16","15","1","0","0","2","9","8","0","85","0","0","9","2","0","0",".112","5.0 %","53.1 %",".159",".119",".278",".007",".276",".132","-23.3","-5","-23","13781"
"Tom Koehler","Dodgers","97","164","189","13","12","1","0","0","1","2","3","0","94","0","0","22","2","0","0",".079","1.6 %","49.7 %",".096",".085",".181",".006",".186",".083","-34.4","-13","-55","6570"
