"Name","Team","G","AB","PA","H","1B","2B","3B","HR","R","RBI","BB","IBB","SO","HBP","SF","SH","GDP","SB","CS","AVG","BB%","K%","OBP","SLG","OPS","ISO","BABIP","wOBA","wRAA","wRC","wRC+","playerid"
"Andrew McCutchen","Giants","304","559","652","175","105","33","6","31","96","92","88","9","102","4","1","0","10","12","6",".313","13.5 %","15.6 %",".410",".560",".969",".247",".337",".411","50.2","125","164","9847"
"Buster Posey","Giants","359","754","853","242","159","51","2","30","83","113","91","22","83","3","5","0","31","2","0",".321","10.7 %","9.7 %",".394",".513",".907",".192",".328",".384","47.8","145","148","9166"
"Hunter Pence","Giants","304","642","709","180","112","37","4","27","72","103","63","4","120","1","3","0","15","5","2",".280","8.9 %","16.9 %",".344",".477",".821",".196",".307",".354","21.7","102","128","8252"
"Evan Longoria","Giants","398","789","905","218","127","54","3","34","98","121","97","25","174","4","15","0","14","1","3",".276","10.7 %","19.2 %",".352",".482",".834",".205",".309",".350","24.2","127","124","9368"
"Austin Jackson","Giants","306","667","749","183","127","35","6","15","61","66","73","0","157","5","3","1","16","6","3",".274","9.7 %","21.0 %",".349",".412",".761",".138",".337",".335","12.9","97","112","9848"
"Kelby Tomlinson","Giants","115","208","234","65","54","7","1","3","17","17","21","3","40","0","2","3","3","4","1",".313","9.0 %","17.1 %",".372",".399",".771",".087",".371",".335","3.0","31","111","13005"
"Nick Hundley","Giants","227","409","445","113","71","29","2","11","30","43","31","6","108","0","3","2","7","1","0",".276","7.0 %","24.3 %",".325",".438",".763",".161",".348",".323","3.2","54","96","3376"
"Madison Bumgarner","Giants","71","113","125","25","14","5","0","6","11","13","5","0","55","1","1","5","2","0","0",".221","4.0 %","44.0 %",".258",".425",".683",".204",".358",".294","-1.9","12","88","5524"
"Gorkys Hernandez","Giants","82","171","186","41","27","13","0","1","14","9","15","2","37","0","0","0","2","4","2",".240","8.1 %","19.9 %",".301",".333",".634",".094",".301",".276","-7.0","16","70","4146"
"Pablo Sandoval","Giants","232","440","478","89","66","15","1","7","27","39","29","3","78","4","5","0","16","0","0",".202","6.1 %","16.3 %",".255",".289",".544",".086",".228",".242","-27.1","26","53","5409"
"Jeff Samardzija","Giants","46","75","83","10","5","5","0","0","7","5","0","0","30","0","2","6","2","0","0",".133","0.0 %","36.1 %",".130",".200",".330",".067",".213",".139","-12.1","-3","-22","3254"
"Johnny Cueto","Giants","46","80","93","10","10","0","0","0","1","5","2","0","33","0","0","11","0","0","0",".125","2.2 %","35.5 %",".146",".125",".271",".000",".213",".124","-14.3","-4","-31","6893"
