"Name","Team","IP","ERA","TBF","H","R","ER","HR","BB","IBB","HBP","SO","AVG","OBP","SLG","wOBA","WHIP","BABIP","HR/9","H/9","xFIP","K%","playerid"
"Hunter Strickland","Giants","120.1","1.94","463","84","27","26","8","30","0","4","134",".196",".255",".292",".243","0.95",".265","0.60","6.28","3.45","28.9 %","7836"
"Mark Melancon","Giants","164.2","2.73","668","161","57","50","7","22","1","4","144",".251",".281",".326",".267","1.11",".314","0.38","8.80","2.84","21.6 %","4264"
"Tony Watson","Giants","241.2","2.83","981","204","82","76","27","63","10","13","210",".225",".288",".364",".282","1.10",".265","1.01","7.60","4.01","21.4 %","3132"
"Sam Dyson","Giants","149.1","3.01","620","144","60","50","10","38","3","8","133",".251",".309",".356",".292","1.22",".311","0.60","8.68","2.97","21.5 %","11710"
"Madison Bumgarner","Giants","776.1","3.04","3147","662","284","262","87","189","14","23","762",".226",".280",".372",".284","1.10",".276","1.01","7.67","3.49","24.2 %","5524"
"Will Smith","Giants","116.0","3.18","495","103","53","41","10","49","8","5","128",".234",".318",".383",".304","1.31",".307","0.78","7.99","3.68","25.9 %","8048"
"Cory Gearrin","Giants","102.1","3.43","425","87","40","39","7","37","2","9","107",".230",".314",".342",".291","1.21",".302","0.62","7.65","3.73","25.2 %","7947"
"Johnny Cueto","Giants","461.2","3.47","1876","398","186","178","52","106","2","27","412",".228",".286",".379",".291","1.09",".271","1.01","7.76","3.61","22.0 %","6893"
"Jeff Samardzija","Giants","547.2","3.55","2207","499","236","216","54","114","6","26","480",".241",".292",".378",".292","1.12",".290","0.89","8.20","3.44","21.8 %","3254"
"Derek Holland","Giants","434.2","4.87","1891","462","258","235","68","162","7","15","327",".270",".340",".469",".348","1.44",".299","1.41","9.57","4.84","17.3 %","4141"
"Ty Blach","Giants","126.2","4.97","539","141","73","70","18","35","1","0","63",".280",".331",".478",".342","1.39",".291","1.28","10.02","5.10","11.7 %","14361"
