"Name","Team","G","AB","PA","H","1B","2B","3B","HR","R","RBI","BB","IBB","SO","HBP","SF","SH","GDP","SB","CS","AVG","BB%","K%","OBP","SLG","OPS","ISO","BABIP","wOBA","wRAA","wRC","wRC+","playerid"
"Andrew McCutchen","Giants","739","2306","2680","659","421","135","13","90","241","338","314","35","506","36","24","0","46","25","12",".286","11.7 %","18.9 %",".376",".473",".849",".187",".328",".365","106.1","411","133","9847"
"Buster Posey","Giants","683","1903","2152","571","410","106","3","52","126","290","197","21","242","22","30","0","52","7","0",".300","9.2 %","11.2 %",".367",".441",".808",".141",".317",".350","59.0","304","125","9166"
"Hunter Pence","Giants","583","1732","1890","477","328","76","18","55","117","234","140","4","370","8","10","0","41","6","1",".275","7.4 %","19.6 %",".331",".435",".766",".160",".320",".333","27.0","241","114","8252"
"Evan Longoria","Giants","764","2299","2520","601","373","123","8","97","186","315","169","13","506","23","28","1","59","3","0",".261","6.7 %","20.1 %",".315",".448",".763",".187",".292",".327","24.7","312","109","9368"
"Austin Jackson","Giants","494","1434","1569","386","273","81","15","17","123","131","105","0","345","6","16","8","32","16","8",".269","6.7 %","22.0 %",".318",".382",".701",".113",".339",".308","-7.4","168","93","9848"
"Nick Hundley","Giants","427","1124","1205","282","180","61","4","37","69","149","63","4","275","7","7","4","29","2","5",".251","5.2 %","22.8 %",".293",".411",".704",".160",".299",".304","-11.0","126","85","3376"
"Gorkys Hernandez","Giants","106","198","224","52","38","12","1","1","13","17","19","1","47","3","2","2","4","3","2",".263","8.5 %","21.0 %",".333",".348",".682",".086",".336",".300","-3.8","23","86","4146"
"Kelby Tomlinson","Giants","144","270","301","70","59","7","4","0","24","20","28","0","64","2","1","0","9","3","2",".259","9.3 %","21.3 %",".332",".315",".647",".056",".338",".291","-6.6","29","83","13005"
"Madison Bumgarner","Giants","110","206","236","40","26","5","0","9","18","29","17","0","85","0","2","11","2","0","0",".194","7.2 %","36.0 %",".253",".350",".603",".155",".272",".264","-10.1","17","65","5524"
"Jeff Samardzija","Giants","81","151","166","20","11","7","0","2","2","11","2","0","65","0","2","11","2","0","0",".132","1.2 %","39.2 %",".142",".219",".360",".086",".209",".154","-21.8","-3","-11","3254"
"Johnny Cueto","Giants","86","161","190","20","20","0","0","0","6","7","4","0","41","0","2","23","3","0","0",".124","2.1 %","21.6 %",".144",".124",".268",".000",".164",".122","-29.5","-8","-33","6893"
