"Name","Team","IP","ERA","TBF","H","R","ER","HR","BB","IBB","HBP","SO","AVG","OBP","SLG","wOBA","WHIP","BABIP","HR/9","H/9","xFIP","K%","playerid"
"Andrew Miller","Indians","87.2","2.26","352","64","25","22","9","23","0","0","147",".195",".248",".298",".243","0.99",".318","0.92","6.57","1.51","41.8 %","6785"
"Cody Allen","Indians","165.1","2.29","662","115","49","42","14","54","5","3","238",".190",".262",".310",".253","1.02",".286","0.76","6.26","2.55","36.0 %","12183"
"Dan Otero","Indians","124.0","2.69","524","134","40","37","7","29","8","2","86",".272",".319",".379",".300","1.31",".318","0.51","9.73","3.47","16.4 %","7385"
"Corey Kluber","Indians","508.1","3.10","2090","462","189","175","48","140","3","19","549",".239",".299",".382",".299","1.18",".310","0.85","8.18","3.13","26.3 %","2429"
"Danny Salazar","Indians","269.0","3.48","1128","233","111","104","34","100","5","7","319",".228",".302",".391",".302","1.24",".298","1.14","7.80","3.44","28.3 %","5867"
"Carlos Carrasco","Indians","328.1","3.65","1335","285","145","133","41","99","4","5","339",".232",".292",".396",".297","1.17",".287","1.12","7.81","3.34","25.4 %","6632"
"Mike Clevinger","Indians","71.0","3.68","297","60","31","29","9","34","1","1","73",".229",".320",".391",".309","1.32",".283","1.14","7.61","4.35","24.6 %","12808"
"Zach McAllister","Indians","196.1","3.71","858","201","93","81","17","82","5","2","174",".260",".333",".405",".323","1.44",".316","0.78","9.21","4.44","20.3 %","2895"
"Josh Tomlin","Indians","228.0","3.87","908","216","108","98","38","21","4","0","166",".244",".262",".436",".295","1.04",".261","1.50","8.53","3.72","18.3 %","9388"
"Trevor Bauer","Indians","344.1","4.52","1488","320","178","173","47","156","4","15","339",".243",".331",".413",".325","1.38",".293","1.23","8.36","4.28","22.8 %","12703"
"Cody Anderson","Indians","71.2","5.40","303","79","44","43","12","17","1","2","43",".278",".325",".493",".347","1.34",".293","1.51","9.92","4.56","14.2 %","12799"
