"Name","Team","IP","ERA","TBF","H","R","ER","HR","BB","IBB","HBP","SO","AVG","OBP","SLG","wOBA","WHIP","BABIP","HR/9","H/9","xFIP","K%","playerid"
"Andrew Miller","Indians","204.0","1.63","790","100","43","37","13","61","3","19","322",".141",".230",".227",".210","0.79",".232","0.57","4.41","2.05","40.8 %","6785"
"Cody Allen","Indians","179.1","2.86","750","149","67","57","19","71","6","3","219",".220",".299",".369",".291","1.23",".297","0.95","7.48","3.67","29.2 %","12183"
"Corey Kluber","Indians","515.1","2.86","1992","398","180","164","46","82","6","15","593",".210",".250",".334",".254","0.93",".280","0.80","6.95","2.74","29.8 %","2429"
"Dan Otero","Indians","179.0","2.87","699","169","63","57","12","17","7","2","109",".249",".271",".350",".266","1.04",".281","0.60","8.50","3.15","15.6 %","7385"
"Carlos Carrasco","Indians","382.1","3.32","1539","343","143","141","30","71","5","17","423",".236",".281",".363",".279","1.08",".314","0.71","8.07","2.84","27.5 %","6632"
"Cody Anderson","Indians","80.1","3.70","332","83","33","33","10","20","3","0","55",".266",".312",".417",".311","1.28",".296","1.12","9.30","4.10","16.6 %","12799"
"Zach McAllister","Indians","207.1","3.73","879","205","93","86","24","62","4","10","205",".254",".316",".397",".312","1.29",".313","1.04","8.90","3.78","23.3 %","2895"
"Mike Clevinger","Indians","103.2","3.82","438","82","46","44","12","55","1","2","114",".215",".319",".372",".305","1.32",".275","1.04","7.12","4.24","26.0 %","12808"
"Danny Salazar","Indians","318.1","4.10","1337","299","155","145","39","110","3","8","367",".245",".313",".395",".309","1.28",".320","1.10","8.45","3.41","27.5 %","5867"
"Trevor Bauer","Indians","368.0","4.13","1560","358","179","169","40","129","2","16","349",".253",".323",".406",".318","1.32",".310","0.98","8.76","3.93","22.4 %","12703"
"Josh Tomlin","Indians","258.2","4.94","1108","306","157","142","52","35","1","10","212",".288",".318",".510",".352","1.32",".318","1.81","10.65","4.02","19.1 %","9388"
