"Name","Team","IP","ERA","TBF","H","R","ER","HR","BB","IBB","HBP","SO","AVG","OBP","SLG","wOBA","WHIP","BABIP","HR/9","H/9","xFIP","K%","playerid"
"Nick Vincent","Mariners","158.1","3.07","608","121","56","54","12","26","7","2","169",".209",".249",".329",".246","0.93",".273","0.68","6.88","3.36","27.8 %","7555"
"Felix Hernandez","Mariners","432.1","3.21","1737","359","170","154","52","106","0","24","449",".223",".283",".368",".287","1.08",".278","1.08","7.47","3.04","25.9 %","4772"
"Edwin Diaz","Mariners","67.0","3.22","282","54","27","24","8","20","1","6","94",".211",".284",".331",".270","1.10",".299","1.07","7.25","3.13","33.3 %","14710"
"David Phelps","Mariners","226.2","3.26","963","218","90","82","16","77","1","7","208",".248",".316",".360",".300","1.30",".308","0.64","8.66","3.86","21.6 %","6316"
"James Paxton","Mariners","352.2","3.39","1449","314","152","133","28","98","9","4","343",".233",".288",".356",".279","1.17",".293","0.71","8.01","3.46","23.7 %","11828"
"Mike Leake","Mariners","497.0","3.60","2052","491","221","199","48","103","9","17","382",".254",".301",".396",".302","1.20",".295","0.87","8.89","3.61","18.6 %","10130"
"Erasmo Ramirez","Mariners","272.2","4.19","1136","270","136","127","39","56","3","20","215",".255",".306",".419",".314","1.20",".287","1.29","8.91","3.99","18.9 %","10314"
"Wade LeBlanc","Mariners","155.1","4.35","647","150","83","75","24","43","6","1","122",".249",".301",".430",".311","1.24",".276","1.39","8.69","4.29","18.9 %","5221"
"Juan Nicasio","Mariners","283.2","4.41","1206","283","148","139","26","85","6","13","250",".255",".319",".415",".320","1.30",".309","0.82","8.98","3.80","20.7 %","7731"
"Marc Rzepczynski","Mariners","72.2","5.94","361","86","59","48","5","64","22","5","61",".295",".431",".419",".361","2.06",".358","0.62","10.65","5.29","16.9 %","6612"
