"Name","Team","IP","ERA","TBF","H","R","ER","HR","BB","IBB","HBP","SO","AVG","OBP","SLG","wOBA","WHIP","BABIP","HR/9","H/9","xFIP","K%","playerid"
"Jerry Blevins","Mets","122.1","2.06","483","91","29","28","6","25","1","7","155",".202",".257",".280",".240","0.95",".293","0.44","6.69","2.74","32.1 %","7841"
"Jeurys Familia","Mets","117.0","2.92","512","114","42","38","8","53","14","3","100",".250",".335",".368",".303","1.43",".305","0.62","8.77","3.94","19.5 %","5114"
"Jacob deGrom","Mets","326.2","2.98","1340","297","118","108","31","93","3","4","332",".239",".295",".364",".288","1.19",".302","0.85","8.18","3.40","24.8 %","10954"
"A.J. Ramos","Mets","160.0","3.09","688","114","60","55","10","101","9","6","180",".196",".324",".305",".284","1.34",".266","0.56","6.41","4.13","26.2 %","8350"
"Noah Syndergaard","Mets","164.0","3.24","690","155","70","59","16","48","5","2","182",".242",".298",".386",".294","1.24",".314","0.88","8.51","3.22","26.4 %","11762"
"Anthony Swarzak","Mets","125.2","3.37","541","125","48","47","12","47","9","1","95",".254",".321",".400",".311","1.37",".293","0.86","8.95","4.84","17.6 %","7466"
"Jason Vargas","Mets","131.0","3.64","573","159","53","53","9","28","0","6","80",".295",".338",".429",".334","1.43",".333","0.62","10.92","4.36","14.0 %","8044"
"Matt Harvey","Mets","272.0","3.81","1139","253","121","115","33","85","7","8","268",".242",".306",".397",".304","1.24",".295","1.09","8.37","3.95","23.5 %","11713"
"Robert Gsellman","Mets","75.2","4.16","343","81","44","35","9","32","3","3","62",".263",".340",".418",".326","1.49",".304","1.07","9.63","4.48","18.1 %","13696"
"Seth Lugo","Mets","81.0","4.22","352","83","38","38","9","30","3","0","60",".258",".323",".416",".315","1.40",".292","1.00","9.22","4.69","17.1 %","12447"
"Rafael Montero","Mets","90.2","5.16","424","114","54","52","10","52","7","2","71",".308",".398",".482",".377","1.83",".360","0.99","11.32","5.17","16.8 %","12760"
