"Name","Team","G","AB","PA","H","1B","2B","3B","HR","R","RBI","BB","IBB","SO","HBP","SF","SH","GDP","SB","CS","AVG","BB%","K%","OBP","SLG","OPS","ISO","BABIP","wOBA","wRAA","wRC","wRC+","playerid"
"David Wright","Mets","170","312","366","104","67","22","2","13","39","41","51","6","61","1","2","0","10","5","3",".333","13.9 %","16.7 %",".426",".542",".968",".208",".379",".416","29.4","70","172","3787"
"Todd Frazier","Mets","343","667","755","158","77","30","2","49","101","119","75","4","181","7","5","1","15","3","4",".237","9.9 %","24.0 %",".318",".508",".827",".271",".247",".351","22.2","108","122","785"
"Wilmer Flores","Mets","208","394","425","108","61","22","0","25","44","61","23","4","69","4","4","0","12","1","1",".274","5.4 %","16.2 %",".318",".520",".838",".246",".273",".351","12.6","62","123","5827"
"Yoenis Cespedes","Mets","324","604","688","153","88","23","4","38","83","95","76","15","159","3","5","0","12","4","4",".253","11.0 %","23.1 %",".337",".493",".831",".240",".279",".350","20.8","98","124","13110"
"Jose Reyes","Mets","284","569","627","159","103","36","3","17","66","73","48","3","70","2","5","3","12","22","2",".279","7.7 %","11.2 %",".335",".443",".778",".163",".292",".335","11.0","82","109","1736"
"Asdrubal Cabrera","Mets","370","730","789","210","142","50","3","15","69","86","41","2","132","5","9","4","23","9","1",".288","5.2 %","16.7 %",".326",".426",".752",".138",".329",".325","7.3","97","105","4962"
"Travis d'Arnaud","Mets","179","312","347","78","47","20","1","10","31","39","33","5","68","1","1","0","8","0","0",".250","9.5 %","19.6 %",".323",".417",".739",".167",".289",".318","1.0","41","102","7739"
"Juan Lagares","Mets","247","495","535","132","89","30","3","10","40","43","29","4","111","6","2","3","4","4","2",".267","5.4 %","20.7 %",".314",".400",".714",".133",".324",".310","-2.6","58","98","5384"
"T.J. Rivera","Mets","48","85","89","21","18","1","0","2","6","7","3","0","23","0","1","0","1","0","0",".247","3.4 %","25.8 %",".270",".329",".599",".082",".311",".259","-4.5","6","59","12495"
"Kevin Plawecki","Mets","57","103","114","20","16","1","0","3","5","6","9","1","22","2","0","0","1","0","0",".194","7.9 %","19.3 %",".272",".291",".563",".097",".218",".251","-6.0","7","56","13807"
