"Name","Team","IP","ERA","TBF","H","R","ER","HR","BB","IBB","HBP","SO","AVG","OBP","SLG","wOBA","WHIP","BABIP","HR/9","H/9","xFIP","K%","playerid"
"Jeurys Familia","Mets","151.1","2.14","602","100","44","36","5","53","2","3","176",".183",".262",".246",".232","1.01",".260","0.30","5.95","2.65","29.2 %","5114"
"Noah Syndergaard","Mets","200.0","2.61","781","168","65","58","14","29","0","4","236",".225",".260",".334",".259","0.99",".309","0.63","7.56","2.37","30.2 %","11762"
"A.J. Ramos","Mets","177.0","2.64","733","126","54","52","9","80","5","8","211",".195",".293",".281",".261","1.16",".275","0.46","6.41","3.86","28.8 %","8350"
"Jacob deGrom","Mets","354.0","2.97","1407","291","125","117","35","83","6","4","399",".220",".272",".347",".269","1.06",".289","0.89","7.40","2.93","28.4 %","10954"
"Matt Harvey","Mets","281.0","3.40","1139","259","112","106","21","55","0","8","254",".241",".286",".351",".279","1.12",".297","0.67","8.30","3.16","22.3 %","11713"
"Seth Lugo","Mets","84.1","3.63","344","80","38","34","11","16","1","6","70",".248",".304",".422",".308","1.14",".286","1.17","8.54","4.08","20.4 %","12447"
"Anthony Swarzak","Mets","178.0","3.64","712","168","82","72","17","36","2","3","156",".250",".292",".383",".292","1.15",".302","0.86","8.49","3.28","21.9 %","7466"
"Jason Vargas","Mets","440.2","4.00","1847","435","204","196","60","132","8","11","329",".255",".314",".418",".319","1.29",".285","1.23","8.88","4.47","17.8 %","8044"
"Steven Matz","Mets","180.1","4.44","754","188","93","89","28","39","4","4","169",".264",".310",".430",".316","1.26",".311","1.40","9.38","3.67","22.4 %","13361"
"Robert Gsellman","Mets","88.2","4.67","391","99","53","46","9","25","2","6","62",".275",".338",".434",".330","1.40",".311","0.91","10.05","4.35","15.9 %","13696"
"Jerry Blevins","Mets","91.0","5.24","412","83","55","53","12","54","12","3","88",".234",".343",".395",".317","1.51",".278","1.19","8.21","4.83","21.4 %","7841"
"Rafael Montero","Mets","101.2","5.58","459","103","65","63","14","59","2","3","118",".259",".366",".427",".346","1.59",".336","1.24","9.12","4.15","25.7 %","12760"
