"Name","Team","G","AB","PA","H","1B","2B","3B","HR","R","RBI","BB","IBB","SO","HBP","SF","SH","GDP","SB","CS","AVG","BB%","K%","OBP","SLG","OPS","ISO","BABIP","wOBA","wRAA","wRC","wRC+","playerid"
"T.J. Rivera","Mets","90","234","255","76","52","16","2","6","12","36","9","0","26","6","5","1","5","1","0",".325","3.5 %","10.2 %",".358",".487",".845",".162",".338",".358","8.1","39","125","12495"
"Yoenis Cespedes","Mets","624","1928","2071","533","307","118","15","93","178","318","106","11","416","19","18","0","44","11","6",".276","5.1 %","20.1 %",".318",".498",".816",".221",".306",".347","54.6","289","121","13110"
"Todd Frazier","Mets","729","2144","2425","521","312","104","4","101","202","297","218","5","508","39","21","3","48","26","17",".243","9.0 %","20.9 %",".321",".437",".758",".194",".270",".329","27.0","303","106","785"
"David Wright","Mets","307","942","1050","247","171","46","5","25","75","111","94","4","222","8","5","0","27","5","1",".262","9.0 %","21.1 %",".333",".401",".734",".139",".317",".324","9.7","125","109","3787"
"Travis d'Arnaud","Mets","363","1010","1106","246","161","45","4","36","71","120","76","4","175","10","7","3","36","1","0",".244","6.9 %","15.8 %",".301",".403",".704",".159",".261",".306","-9.1","117","94","7739"
"Wilmer Flores","Mets","397","1086","1157","277","194","49","2","32","77","141","53","1","150","6","9","3","30","1","1",".255","4.6 %","13.0 %",".291",".392",".683",".137",".268",".296","-18.0","114","87","5827"
"Juan Lagares","Mets","432","1148","1235","291","213","54","14","10","67","103","52","4","242","12","11","12","24","18","5",".253","4.2 %","19.6 %",".290",".351",".641",".098",".310",".280","-33.2","105","78","5384"
"Kevin Plawecki","Mets","137","362","413","83","60","19","0","4","14","39","39","7","88","7","4","1","7","0","0",".229","9.4 %","21.3 %",".313",".315",".628",".086",".288",".275","-13.6","34","73","13807"
"Amed Rosario","Mets","41","128","132","30","21","4","3","2","6","6","2","0","40","2","0","0","3","5","1",".234","1.5 %","30.3 %",".258",".359",".617",".125",".326",".264","-6.4","10","62","15518"
"Matt Harvey","Mets","69","127","136","10","8","2","0","0","0","4","2","0","51","0","0","7","8","0","0",".079","1.5 %","37.5 %",".093",".094",".188",".016",".132",".085","-25.3","-10","-56","11713"
