"Name","Team","IP","ERA","TBF","H","R","ER","HR","BB","IBB","HBP","SO","AVG","OBP","SLG","wOBA","WHIP","BABIP","HR/9","H/9","xFIP","K%","playerid"
"Sean Doolittle","Nationals","79.2","2.26","294","47","20","20","5","12","0","0","92",".167",".204",".264",".207","0.74",".227","0.56","5.31","2.96","31.3 %","1581"
"Joaquin Benoit","Nationals","145.1","2.29","588","105","38","37","15","51","6","2","160",".196",".270",".336",".264","1.07",".250","0.93","6.50","3.62","27.2 %","1437"
"Brandon Kintzler","Nationals","118.1","2.81","470","99","42","37","6","32","7","1","62",".227",".283",".320",".262","1.11",".252","0.46","7.53","4.10","13.2 %","9939"
"Stephen Strasburg","Nationals","404.1","2.83","1639","313","139","127","40","132","6","7","447",".209",".277",".334",".270","1.10",".269","0.89","6.97","3.25","27.3 %","10131"
"Ryan Madson","Nationals","89.0","2.83","351","72","28","28","8","17","1","2","85",".217",".260",".328",".256","1.00",".268","0.81","7.28","3.32","24.2 %","1852"
"Max Scherzer","Nationals","575.1","3.21","2397","501","214","205","70","184","7","14","625",".228",".293",".392",".299","1.19",".287","1.10","7.84","3.81","26.1 %","3137"
"Gio Gonzalez","Nationals","212.2","3.22","848","171","79","76","9","57","1","6","191",".218",".279",".315",".264","1.07",".277","0.38","7.24","3.29","22.5 %","7448"
"Shawn Kelley","Nationals","102.2","3.51","432","87","44","40","15","42","9","0","133",".223",".299",".415",".302","1.26",".298","1.31","7.63","3.25","30.8 %","7773"
"Tanner Roark","Nationals","357.0","3.63","1526","345","152","144","42","136","6","17","244",".251",".328",".399",".319","1.35",".279","1.06","8.70","4.84","16.0 %","8753"
"Joe Ross","Nationals","116.2","4.40","535","146","60","57","18","44","2","5","101",".300",".367",".485",".364","1.63",".349","1.39","11.26","4.57","18.9 %","12972"
