"Name","Team","IP","ERA","TBF","H","R","ER","HR","BB","IBB","HBP","SO","AVG","OBP","SLG","wOBA","WHIP","BABIP","HR/9","H/9","xFIP","K%","playerid"
"Ryan Madson","Nationals","98.0","2.30","386","76","28","25","6","26","5","6","89",".215",".282",".319",".261","1.04",".270","0.55","6.98","3.36","23.1 %","1852"
"Max Scherzer","Nationals","517.0","2.49","1924","314","152","143","46","80","0","18","695",".172",".216",".297",".225","0.76",".247","0.80","5.47","2.44","36.1 %","3137"
"Joaquin Benoit","Nationals","139.2","2.90","553","86","49","45","12","54","1","4","138",".174",".263",".295",".251","1.00",".214","0.77","5.54","3.97","25.0 %","1437"
"Tanner Roark","Nationals","397.2","3.21","1574","341","155","142","32","77","7","13","342",".230",".277",".337",".269","1.05",".278","0.72","7.72","3.26","21.7 %","8753"
"Brandon Kintzler","Nationals","149.2","3.31","622","166","59","55","15","29","1","5","108",".282",".324",".405",".319","1.30",".325","0.90","9.98","3.29","17.4 %","9939"
"Stephen Strasburg","Nationals","444.0","3.36","1782","386","188","166","41","84","5","22","528",".230",".279",".362",".281","1.06",".312","0.83","7.82","2.71","29.6 %","10131"
"Sean Doolittle","Nationals","156.0","3.40","617","123","61","59","16","32","5","2","179",".211",".256",".344",".259","0.99",".276","0.92","7.10","3.44","29.0 %","1581"
"Joe Ross","Nationals","138.2","3.57","549","114","60","55","14","26","3","4","129",".220",".269",".352",".268","1.01",".266","0.91","7.40","3.33","23.5 %","12972"
"Gio Gonzalez","Nationals","695.2","3.75","2974","650","312","290","66","282","10","19","691",".243",".322",".382",".310","1.34",".305","0.85","8.41","3.85","23.2 %","7448"
"Enny Romero","Nationals","89.0","4.15","384","77","43","41","10","43","2","1","100",".226",".315",".357",".295","1.35",".291","1.01","7.79","4.27","26.0 %","4001"
"Shawn Kelley","Nationals","137.2","4.18","565","116","68","64","23","38","4","2","173",".221",".277",".402",".291","1.12",".283","1.50","7.58","3.41","30.6 %","7773"
