"Name","Team","G","AB","PA","H","1B","2B","3B","HR","R","RBI","BB","IBB","SO","HBP","SF","SH","GDP","SB","CS","AVG","BB%","K%","OBP","SLG","OPS","ISO","BABIP","wOBA","wRAA","wRC","wRC+","playerid"
"Trea Turner","Nationals","180","594","638","185","117","31","13","24","59","79","37","0","120","4","3","0","4","34","9",".311","5.8 %","18.8 %",".354",".529",".883",".217",".355",".373","28.4","105","130","16252"
"Anthony Rendon","Nationals","614","1818","2073","494","311","113","9","61","168","262","200","6","360","28","23","4","30","14","3",".272","9.6 %","17.4 %",".349",".444",".793",".173",".305",".344","48.2","285","114","12861"
"Ryan Zimmerman","Nationals","535","1577","1730","412","259","80","3","70","160","247","125","2","393","9","19","0","38","6","0",".261","7.2 %","22.7 %",".316",".449",".765",".188",".302",".329","17.7","216","104","4220"
"Howie Kendrick","Nationals","586","1719","1862","496","370","79","15","32","120","196","108","7","323","18","10","7","60","17","8",".289","5.8 %","17.3 %",".335",".408",".743",".119",".338",".324","14.7","225","107","4229"
"Michael Taylor","Nationals","304","849","920","199","125","41","4","29","72","103","61","9","289","4","4","2","6","18","4",".234","6.6 %","31.4 %",".288",".395",".682",".160",".318",".291","-18.9","88","77","11489"
"Max Scherzer","Nationals","84","159","189","30","28","2","0","0","7","13","7","0","51","0","0","23","1","0","0",".189","3.7 %","27.0 %",".223",".201",".424",".013",".278",".193","-19.8","2","10","3137"
"Stephen Strasburg","Nationals","99","178","212","22","19","2","0","1","7","7","11","0","67","0","0","23","2","0","0",".124","5.2 %","31.6 %",".175",".152",".326",".028",".191",".153","-27.7","-4","-15","10131"
"Gio Gonzalez","Nationals","114","207","243","24","17","5","0","2","6","11","6","0","88","4","1","25","3","0","0",".116","2.5 %","36.2 %",".156",".169",".325",".053",".186",".149","-32.7","-5","-17","7448"
"Joe Ross","Nationals","40","78","82","11","9","2","0","0","1","1","1","0","38","0","0","3","3","0","0",".141","1.2 %","46.3 %",".152",".167",".319",".026",".275",".140","-12.0","-2","-25","12972"
"Tanner Roark","Nationals","102","181","213","23","19","4","0","0","2","4","6","0","66","0","0","26","2","0","0",".127","2.8 %","31.0 %",".155",".149",".304",".022",".200",".139","-30.7","-6","-25","8753"
