"Name","Team","IP","ERA","TBF","H","R","ER","HR","BB","IBB","HBP","SO","AVG","OBP","SLG","wOBA","WHIP","BABIP","HR/9","H/9","xFIP","K%","playerid"
"Darren O'Day","Orioles","186.1","1.88","719","118","40","39","14","43","0","18","219",".179",".249",".267",".235","0.86",".245","0.68","5.70","3.17","30.5 %","3321"
"Zach Britton","Orioles","202.1","2.36","815","166","59","53","11","69","6","2","179",".223",".293",".308",".268","1.16",".280","0.49","7.38","2.95","22.0 %","3240"
"Mychal Givens","Orioles","125.1","2.37","490","80","34","33","10","37","1","8","162",".180",".256",".299",".247","0.93",".256","0.72","5.74","3.16","33.1 %","10430"
"Miguel Castro","Orioles","61.2","2.77","248","50","22","19","7","19","3","1","46",".219",".285",".388",".285","1.12",".246","1.02","7.30","4.08","18.6 %","15684"
"Brad Brach","Orioles","169.2","2.92","685","123","64","55","19","68","0","1","210",".200",".282",".340",".276","1.13",".269","1.01","6.52","3.39","30.7 %","6627"
"Andrew Cashner","Orioles","414.0","3.15","1706","388","174","145","25","99","3","20","301",".244",".300",".359",".289","1.18",".288","0.54","8.43","3.67","17.6 %","8782"
"Alex Cobb","Orioles","255.1","3.31","1052","248","101","94","23","61","3","11","212",".253",".306",".369",".296","1.21",".302","0.81","8.74","3.46","20.2 %","6562"
"Dylan Bundy","Orioles","141.0","4.02","595","126","65","63","23","49","2","8","154",".234",".308",".406",".308","1.24",".285","1.47","8.04","4.29","25.9 %","12917"
"Kevin Gausman","Orioles","326.0","4.61","1395","363","172","167","52","86","2","12","296",".280",".331",".461",".340","1.38",".328","1.44","10.02","3.79","21.2 %","14107"
"Chris Tillman","Orioles","419.1","4.87","1742","400","237","227","71","130","0","15","317",".250",".314",".453",".331","1.26",".272","1.52","8.59","4.34","18.2 %","5279"
"Mike Wright","Orioles","85.0","5.51","365","79","55","52","13","31","2","11","62",".245",".332",".447",".335","1.29",".266","1.38","8.36","5.14","17.0 %","12586"
