"Name","Team","IP","ERA","TBF","H","R","ER","HR","BB","IBB","HBP","SO","AVG","OBP","SLG","wOBA","WHIP","BABIP","HR/9","H/9","xFIP","K%","playerid"
"Pat Neshek","Phillies","177.1","2.03","681","126","43","40","14","28","4","3","170",".194",".232",".304",".232","0.87",".240","0.71","6.39","3.53","25.0 %","4682"
"Tommy Hunter","Phillies","165.0","2.45","642","129","48","45","11","37","1","6","146",".215",".269",".310",".257","1.01",".267","0.60","7.04","3.42","22.7 %","1157"
"Luis Garcia","Phillies","114.1","2.91","490","96","41","37","7","60","1","0","107",".223",".320",".328",".292","1.36",".282","0.55","7.56","3.89","21.8 %","6984"
"Jake Arrieta","Phillies","445.0","2.97","1752","336","162","147","35","104","4","18","409",".206",".262",".318",".256","0.99",".254","0.71","6.80","3.25","23.3 %","4153"
"Jerad Eickhoff","Phillies","187.1","3.12","753","151","71","65","18","44","2","6","186",".215",".270",".355",".270","1.04",".267","0.86","7.25","3.70","24.7 %","12664"
"Hector Neris","Phillies","102.0","3.18","411","76","39","36","17","26","3","13","116",".204",".281",".385",".288","1.00",".247","1.50","6.71","3.70","28.2 %","11804"
"Aaron Nola","Phillies","198.1","3.86","808","182","91","85","21","37","1","8","232",".239",".283",".370",".282","1.10",".316","0.95","8.26","2.69","28.7 %","16149"
"Drew Hutchison","Phillies","168.1","4.28","728","184","85","80","21","40","1","12","169",".272",".326",".438",".333","1.33",".335","1.12","9.84","3.81","23.2 %","10732"
"Vince Velasquez","Phillies","129.0","4.74","540","126","72","68","22","40","0","4","143",".254",".318",".465",".335","1.29",".314","1.53","8.79","3.83","26.5 %","11189"
"Adam Morgan","Phillies","181.1","5.61","789","218","119","113","39","43","5","5","133",".294",".338",".536",".368","1.44",".315","1.94","10.82","4.73","16.9 %","12580"
"Nick Pivetta","Phillies","67.0","7.25","299","81","55","54","20","27","0","4","68",".302",".378",".605",".409","1.61",".339","2.69","10.88","4.51","22.7 %","15454"
