"Name","Team","IP","ERA","TBF","H","R","ER","HR","BB","IBB","HBP","SO","AVG","OBP","SLG","wOBA","WHIP","BABIP","HR/9","H/9","xFIP","K%","playerid"
"Matt Bush","Rangers","71.0","1.65","292","56","18","13","5","17","0","5","64",".207",".268",".306",".254","1.03",".254","0.63","7.10","4.06","21.9 %","1246"
"Alex Claudio","Rangers","102.2","2.72","439","116","36","31","7","28","5","3","63",".284",".335",".399",".315","1.40",".322","0.61","10.17","3.84","14.4 %","12890"
"Keone Kela","Rangers","84.0","2.79","335","58","27","26","8","28","0","3","112",".191",".268",".319",".261","1.02",".272","0.86","6.21","3.01","33.4 %","14696"
"Tony Barnette","Rangers","74.0","3.04","301","66","27","25","5","19","1","3","73",".237",".292",".364",".282","1.15",".303","0.61","8.03","3.88","24.3 %","3555"
"Doug Fister","Rangers","359.1","3.46","1480","354","154","138","29","78","3","16","246",".255",".305",".373",".298","1.20",".293","0.73","8.87","3.70","16.6 %","9425"
"Cole Hamels","Rangers","774.1","3.63","3209","709","331","312","84","227","12","39","737",".241",".306",".388",".303","1.21",".295","0.98","8.24","3.67","23.0 %","4972"
"Mike Minor","Rangers","322.1","3.77","1330","300","142","135","42","84","7","6","273",".242",".296",".416",".310","1.19",".279","1.17","8.38","3.98","20.5 %","10021"
"Jake Diekman","Rangers","143.2","3.88","634","121","69","62","11","84","9","5","180",".222",".332",".350",".302","1.43",".311","0.69","7.58","3.73","28.4 %","5003"
"Matt Moore","Rangers","443.2","4.16","1915","421","218","205","55","189","5","12","393",".246",".327",".407",".319","1.37",".289","1.12","8.54","4.74","20.5 %","1890"
"Jesse Chavez","Rangers","279.0","4.19","1174","271","140","130","41","86","7","4","266",".250",".310",".417",".313","1.28",".296","1.32","8.74","3.93","22.7 %","5448"
"Martin Perez","Rangers","504.1","4.73","2179","573","291","265","52","178","5","9","268",".288",".351",".438",".341","1.49",".312","0.93","10.23","4.69","12.3 %","6902"
"Tim Lincecum","Rangers","236.0","5.68","1048","260","155","149","39","95","3","12","224",".276",".354",".483",".364","1.50",".326","1.49","9.92","4.03","21.4 %","5705"
