"Name","Team","IP","ERA","TBF","H","R","ER","HR","BB","IBB","HBP","SO","AVG","OBP","SLG","wOBA","WHIP","BABIP","HR/9","H/9","xFIP","K%","playerid"
"Bryan Shaw","Rockies","140.2","2.82","599","136","54","44","11","54","9","2","120",".250",".323",".371",".302","1.35",".303","0.70","8.70","3.50","20.0 %","8110"
"Mike Dunn","Rockies","131.0","2.82","549","111","42","41","11","52","0","4","139",".225",".305",".340",".288","1.24",".292","0.76","7.63","3.93","25.3 %","9948"
"Wade Davis","Rockies","191.1","3.01","821","168","70","64","12","89","3","5","216",".231",".320",".337",".295","1.34",".313","0.56","7.90","3.49","26.3 %","7441"
"Jake McGee","Rockies","89.2","3.41","369","84","35","34","7","23","0","4","107",".246",".302",".375",".298","1.19",".338","0.70","8.43","2.93","29.0 %","7550"
"German Marquez","Rockies","90.0","3.70","397","103","38","37","6","31","1","2","70",".283",".346",".433",".334","1.49",".337","0.60","10.30","4.12","17.6 %","15038"
"Antonio Senzatela","Rockies","66.1","3.80","276","59","28","28","10","26","0","0","46",".236",".310",".435",".318","1.28",".253","1.36","8.01","4.58","16.7 %","15488"
"Chris Rusin","Rockies","110.1","3.83","460","114","55","47","10","20","2","6","88",".263",".306",".411",".308","1.21",".310","0.82","9.30","3.36","19.1 %","9895"
"Jon Gray","Rockies","169.1","3.99","721","165","81","75","15","58","3","4","171",".250",".317",".386",".304","1.32",".317","0.80","8.77","3.71","23.7 %","14916"
"Chad Bettis","Rockies","212.0","4.33","935","217","110","102","18","89","7","2","158",".257",".336",".408",".323","1.44",".298","0.76","9.21","4.19","16.9 %","10587"
"Adam Ottavino","Rockies","78.2","4.92","364","91","44","43","14","41","4","4","72",".285",".377",".473",".368","1.68",".330","1.60","10.41","4.36","19.8 %","1247"
"Jeff Hoffman","Rockies","69.1","5.19","289","64","50","40","10","23","1","1","43",".242",".307",".442",".317","1.25",".255","1.30","8.31","5.16","14.9 %","17432"
