"Name","Team","IP","ERA","TBF","H","R","ER","HR","BB","IBB","HBP","SO","AVG","OBP","SLG","wOBA","WHIP","BABIP","HR/9","H/9","xFIP","K%","playerid"
"Adam Ottavino","Rockies","155.1","2.55","628","118","48","44","8","54","4","9","187",".209",".291",".301",".265","1.11",".297","0.46","6.84","3.17","29.8 %","1247"
"Wade Davis","Rockies","185.1","2.67","745","144","60","55","12","56","1","8","211",".211",".279",".304",".262","1.08",".288","0.58","6.99","3.28","28.3 %","7441"
"Jake McGee","Rockies","184.2","3.22","746","146","67","66","19","55","8","4","202",".213",".275",".339",".267","1.09",".273","0.93","7.12","3.62","27.1 %","7550"
"Bryan Shaw","Rockies","218.0","3.30","882","171","89","80","20","65","4","6","213",".211",".277",".330",".267","1.08",".261","0.83","7.06","3.57","24.2 %","8110"
"Kyle Freeland","Rockies","118.1","4.11","534","130","61","54","13","55","4","7","65",".275",".366",".437",".345","1.56",".297","0.99","9.89","5.06","12.2 %","16256"
"Mike Dunn","Rockies","140.1","4.30","608","121","72","67","17","66","6","5","160",".225",".317",".388",".307","1.33",".289","1.09","7.76","4.10","26.3 %","9948"
"Tyler Anderson","Rockies","148.1","4.31","635","163","75","71","23","41","2","4","134",".276",".333",".477",".344","1.38",".323","1.40","9.89","3.85","21.1 %","12880"
"Chris Rusin","Rockies","269.2","4.34","1164","295","140","130","32","92","10","6","182",".277",".341",".443",".338","1.44",".309","1.07","9.85","4.16","15.6 %","9895"
"Jon Gray","Rockies","149.2","4.87","637","153","84","81","17","45","1","12","166",".264",".333",".425",".327","1.32",".343","1.02","9.20","3.44","26.1 %","14916"
"German Marquez","Rockies","92.2","5.24","402","99","56","54","21","24","2","9","92",".268",".332",".530",".360","1.33",".305","2.04","9.62","4.17","22.9 %","15038"
"Antonio Senzatela","Rockies","68.1","5.53","288","69","44","42","8","21","1","4","56",".262",".329",".438",".327","1.32",".307","1.05","9.09","4.00","19.4 %","15488"
"Scott Oberg","Rockies","92.0","5.58","398","92","61","57","11","38","3","7","76",".261",".347",".432",".336","1.41",".305","1.08","9.00","4.43","19.1 %","13911"
"Chad Bettis","Rockies","204.2","5.72","916","256","140","130","33","53","4","12","151",".301",".355",".511",".370","1.51",".334","1.45","11.26","4.24","16.5 %","10587"
"Jeff Hoffman","Rockies","61.1","6.16","298","79","45","42","12","34","1","3","61",".303",".392",".549",".396","1.84",".356","1.76","11.59","4.98","20.5 %","17432"
