"Name","Team","G","AB","PA","H","1B","2B","3B","HR","R","RBI","BB","IBB","SO","HBP","SF","SH","GDP","SB","CS","AVG","BB%","K%","OBP","SLG","OPS","ISO","BABIP","wOBA","wRAA","wRC","wRC+","playerid"
"Salvador Perez","Royals","633","1860","1957","503","327","104","6","66","150","264","63","6","327","19","14","0","66","0","0",".270","3.2 %","16.7 %",".299",".439",".738",".169",".295",".317","3.1","225","97","7304"
"Jorge Soler","Royals","221","572","636","141","87","32","1","21","53","73","54","2","179","4","6","0","16","1","0",".247","8.5 %","28.1 %",".313",".416",".729",".170",".317",".316","0.1","73","97","14221"
"Whit Merrifield","Royals","216","700","747","197","135","41","5","16","48","87","34","0","122","5","7","1","9","21","7",".281","4.6 %","16.3 %",".316",".423",".739",".141",".318",".316","-2.3","88","94","11281"
"Cheslor Cuthbert","Royals","176","471","509","118","82","23","2","11","30","54","34","0","104","0","3","1","11","2","0",".251","6.7 %","20.4 %",".299",".378",".677",".127",".298",".294","-10.3","50","80","10473"
"Paulo Orlando","Royals","204","531","557","142","102","26","6","8","42","52","11","1","130","9","2","3","10","7","2",".267","2.0 %","23.3 %",".293",".384",".677",".117",".339",".292","-11.7","53","79","8628"
"Drew Butera","Royals","187","427","470","96","69","17","2","8","30","40","30","0","106","4","2","7","3","0","1",".225","6.4 %","22.6 %",".281",".330",".611",".105",".279",".270","-16.6","37","68","3411"
"Alcides Escobar","Royals","730","2241","2379","569","444","92","18","15","118","191","71","3","324","21","16","30","40","22","6",".254","3.0 %","13.6 %",".281",".331",".612",".077",".289",".268","-90.9","180","64","6310"
"Jason Hammel","Royals","75","148","160","27","23","4","0","0","4","9","3","0","46","0","1","8","3","0","0",".182","1.9 %","28.8 %",".197",".209",".407",".027",".262",".180","-17.6","1","4","4538"
"Ian Kennedy","Royals","76","125","147","14","7","6","0","1","2","5","7","0","63","0","0","15","1","0","0",".112","4.8 %","42.9 %",".159",".184",".343",".072",".213",".157","-18.0","-2","-8","6986"
"Wily Peralta","Royals","88","144","169","16","12","3","0","1","4","9","3","0","54","0","1","21","4","0","0",".111","1.8 %","32.0 %",".128",".153",".281",".042",".167",".125","-25.4","-7","-37","7738"
