"Name","Team","IP","ERA","TBF","H","R","ER","HR","BB","IBB","HBP","SO","AVG","OBP","SLG","wOBA","WHIP","BABIP","HR/9","H/9","xFIP","K%","playerid"
"Zach Duke","Twins","100.1","2.69","410","83","31","30","6","34","1","2","115",".222",".292",".319",".273","1.17",".304","0.54","7.45","2.80","28.1 %","3840"
"Addison Reed","Twins","156.2","3.04","654","132","56","53","12","47","15","4","159",".219",".282",".337",".264","1.14",".278","0.69","7.58","3.75","24.3 %","10586"
"Jake Odorizzi","Twins","344.2","3.26","1409","283","132","125","38","97","0","8","354",".217",".276",".371",".282","1.10",".269","0.99","7.39","3.81","25.1 %","6397"
"Ervin Santana","Twins","463.1","3.55","1912","441","207","183","49","130","8","9","324",".249",".305",".398",".305","1.23",".280","0.95","8.57","4.24","17.0 %","3200"
"Michael Pineda","Twins","237.0","3.76","990","235","109","99","29","59","1","5","245",".254",".302",".429",".314","1.24",".316","1.10","8.92","3.14","24.8 %","5372"
"Fernando Rodney","Twins","155.1","3.82","710","154","72","66","13","89","9","8","199",".251",".357",".377",".324","1.56",".352","0.75","8.92","3.57","28.0 %","494"
"Lance Lynn","Twins","330.2","3.89","1491","326","158","143","39","182","6","12","253",".251",".350",".421",".338","1.54",".286","1.06","8.87","5.06","17.0 %","2520"
"Ryan Pressly","Twins","108.1","3.90","478","116","53","47","7","51","9","2","94",".273",".355",".388",".323","1.54",".336","0.58","9.64","4.17","19.7 %","7005"
"Trevor May","Twins","95.2","3.95","423","102","43","42","9","41","3","1","96",".268",".341",".414",".330","1.49",".337","0.85","9.60","4.11","22.7 %","6398"
"Phil Hughes","Twins","313.2","4.33","1342","363","158","151","43","65","5","3","243",".285",".323",".455",".335","1.36",".324","1.23","10.42","4.07","18.1 %","7450"
"Kyle Gibson","Twins","365.0","4.66","1633","420","202","189","32","148","5","14","222",".286",".357",".423",".341","1.56",".319","0.79","10.36","4.70","13.6 %","10123"
"Jose Berrios","Twins","93.1","5.21","432","100","61","54","14","54","0","5","85",".268",".369",".432",".350","1.65",".314","1.35","9.64","5.30","19.7 %","14168"
