"Name","Team","IP","ERA","TBF","H","R","ER","HR","BB","IBB","HBP","SO","AVG","OBP","SLG","wOBA","WHIP","BABIP","HR/9","H/9","xFIP","K%","playerid"
"Lance Lynn","Twins","436.1","2.85","1758","371","152","138","28","112","5","21","446",".228",".291",".338",".279","1.11",".298","0.58","7.65","3.23","25.4 %","2520"
"Addison Reed","Twins","183.2","3.28","744","164","69","67","23","38","2","0","200",".232",".273",".393",".287","1.10",".292","1.13","8.04","3.37","26.9 %","10586"
"Ervin Santana","Twins","444.1","3.48","1833","391","181","172","55","134","5","17","414",".232",".298",".384",".298","1.18",".277","1.11","7.92","3.93","22.6 %","3200"
"Taylor Rogers","Twins","73.1","3.56","325","85","32","29","9","25","7","5","61",".288",".355",".435",".336","1.50",".338","1.10","10.43","4.40","18.8 %","13449"
"Fernando Rodney","Twins","161.0","3.58","657","113","71","64","10","67","6","11","156",".195",".293",".295",".265","1.12",".249","0.56","6.32","3.64","23.7 %","494"
"Ryan Pressly","Twins","161.0","3.75","658","143","71","67","19","38","2","4","119",".232",".285",".388",".290","1.12",".259","1.06","7.99","4.14","18.1 %","7005"
"Zach Duke","Twins","129.2","3.75","557","113","61","54","14","60","12","8","123",".231",".329",".375",".306","1.33",".281","0.97","7.84","3.83","22.1 %","3840"
"Jake Odorizzi","Twins","353.1","4.36","1509","337","185","171","62","131","4","8","285",".246",".317",".446",".328","1.32",".269","1.58","8.58","4.83","18.9 %","6397"
"Michael Pineda","Twins","272.0","4.50","1134","284","145","136","44","43","0","6","269",".262",".295",".443",".316","1.20",".311","1.46","9.40","3.37","23.7 %","5372"
"Kyle Gibson","Twins","365.1","4.73","1529","370","197","192","49","109","4","10","284",".262",".322",".416",".321","1.31",".298","1.21","9.11","3.73","18.6 %","10123"
"Phil Hughes","Twins","309.2","4.80","1309","360","175","165","49","35","2","10","230",".285",".310",".480",".338","1.28",".316","1.42","10.46","4.16","17.6 %","7450"
"Jose Berrios","Twins","110.2","4.96","465","105","66","61","13","29","0","13","103",".248",".319",".415",".318","1.21",".300","1.06","8.54","4.43","22.2 %","14168"
"Trevor May","Twins","107.1","6.20","469","123","77","74","16","24","1","7","118",".281",".330",".486",".350","1.37",".352","1.34","10.31","3.60","25.2 %","6398"
