"Name","Team","G","AB","PA","H","1B","2B","3B","HR","R","RBI","BB","IBB","SO","HBP","SF","SH","GDP","SB","CS","AVG","BB%","K%","OBP","SLG","OPS","ISO","BABIP","wOBA","wRAA","wRC","wRC+","playerid"
"Joe Mauer","Twins","621","1789","2060","516","354","124","7","31","138","194","258","41","329","2","11","0","53","2","2",".288","12.5 %","16.0 %",".377",".418",".794",".129",".337",".344","46.6","282","115","1857"
"Max Kepler","Twins","237","670","751","175","99","41","3","32","75","106","72","5","135","4","5","0","4","6","0",".261","9.6 %","18.0 %",".334",".475",".809",".213",".281",".342","14.3","104","112","12144"
"Eddie Rosario","Twins","340","968","1031","267","157","53","13","44","107","121","50","6","229","0","8","5","11","13","7",".276","4.8 %","22.2 %",".309",".494",".803",".218",".317",".336","16.4","138","109","12155"
"Logan Morrison","Twins","532","1457","1656","356","211","59","9","77","120","208","178","19","314","13","8","0","33","9","3",".244","10.7 %","19.0 %",".330",".456",".786",".211",".260",".336","28.0","218","115","9205"
"Jason Castro","Twins","519","1419","1612","339","193","88","5","53","107","172","168","6","465","13","10","2","22","0","0",".239","10.4 %","28.8 %",".323",".420",".743",".181",".314",".324","12.1","195","105","8722"
"Robbie Grossman","Twins","369","950","1117","229","156","48","3","22","76","103","151","1","278","6","4","6","8","5","4",".241","13.5 %","24.9 %",".347",".367",".715",".126",".317",".321","4.6","132","101","5254"
"Kennys Vargas","Twins","214","526","572","127","76","24","1","26","53","79","38","0","171","4","4","0","10","0","0",".241","6.6 %","29.9 %",".295",".439",".735",".198",".303",".316","-0.1","66","96","12101"
"Eduardo Escobar","Twins","479","1235","1342","311","199","71","14","27","97","142","84","3","261","7","7","9","14","6","6",".252","6.3 %","19.4 %",".302",".398",".699",".146",".298",".303","-13.2","140","87","6153"
"Ehire Adrianza","Twins","162","292","340","64","45","15","2","2","21","25","29","0","56","7","5","7","4","5","2",".219","8.5 %","16.5 %",".300",".305",".605",".086",".259",".273","-12.0","27","70","8418"
"Zack Granite","Twins","35","76","87","16","14","2","0","0","7","7","9","0","7","0","1","1","6","1","1",".211","10.3 %","8.0 %",".291",".237",".528",".026",".229",".244","-5.7","5","44","15343"
