"Name","Team","G","AB","PA","H","1B","2B","3B","HR","R","RBI","BB","IBB","SO","HBP","SF","SH","GDP","SB","CS","AVG","BB%","K%","OBP","SLG","OPS","ISO","BABIP","wOBA","wRAA","wRC","wRC+","playerid"
"Jose Abreu","White Sox","276","553","623","167","102","31","3","31","78","85","55","11","125","10","5","0","23","1","0",".302","8.8 %","20.1 %",".372",".537",".909",".235",".338",".383","34.2","106","146","15676"
"Welington Castillo","White Sox","232","482","529","136","88","22","0","26","50","71","41","3","132","4","2","0","9","0","0",".282","7.8 %","25.0 %",".342",".490",".832",".207",".337",".357","17.7","78","123","3256"
"Avisail Garcia","White Sox","235","472","521","145","103","24","5","13","64","70","40","6","117","2","7","0","15","7","5",".307","7.7 %","22.5 %",".359",".462",".821",".155",".378",".350","14.8","75","122","5760"
"Tim Anderson","White Sox","104","251","258","81","58","15","2","6","30","26","4","0","63","1","0","2","12","7","0",".323","1.6 %","24.4 %",".336",".470",".806",".147",".412",".344","5.1","36","116","15172"
"Matt Davidson","White Sox","75","140","154","35","21","8","1","5","12","19","11","1","47","2","1","0","5","0","0",".250","7.1 %","30.5 %",".312",".429",".740",".179",".337",".315","-0.5","18","95","7226"
"Tyler Saladino","White Sox","113","221","248","56","41","11","2","2","21","29","20","0","41","3","1","3","7","7","3",".253","8.1 %","16.5 %",".322",".348",".671",".095",".302",".298","-4.2","25","85","10807"
"Adam Engel","White Sox","43","83","91","18","11","3","3","1","6","10","6","0","24","2","0","0","0","1","0",".217","6.6 %","26.4 %",".286",".361",".647",".145",".293",".281","-3.1","8","73","15082"
"Yolmer Sanchez","White Sox","158","279","301","67","43","18","3","3","25","32","13","0","62","0","3","6","7","1","3",".240","4.3 %","20.6 %",".271",".358",".630",".118",".295",".272","-11.4","24","68","11602"
"Kevan Smith","White Sox","58","121","125","28","20","6","0","2","13","12","2","0","19","1","0","0","4","0","0",".231","1.6 %","15.2 %",".250",".331",".581",".099",".260",".250","-7.4","8","51","12284"
"Leury Garcia","White Sox","105","196","211","47","40","7","0","0","14","12","6","0","42","1","1","7","4","4","2",".240","2.8 %","19.9 %",".265",".276",".540",".036",".303",".240","-12.7","12","45","5913"
