"Name","Team","IP","ERA","TBF","H","R","ER","HR","BB","IBB","HBP","SO","AVG","OBP","SLG","wOBA","WHIP","BABIP","HR/9","H/9","xFIP","K%","playerid"
"Aroldis Chapman","Yankees","219.2","2.25","884","134","59","55","14","94","3","6","357",".171",".265",".257",".240","1.04",".291","0.57","5.49","2.29","40.4 %","10233"
"Chad Green","Yankees","68.0","2.38","268","48","18","18","5","20","0","2","85",".195",".263",".302",".250","1.00",".276","0.66","6.35","3.16","31.7 %","15552"
"Dellin Betances","Yankees","163.0","3.09","676","95","61","56","15","89","1","7","266",".164",".284",".270",".257","1.13",".268","0.83","5.25","2.71","39.4 %","6216"
"Adam Warren","Yankees","234.1","3.42","967","205","95","89","23","73","2","11","205",".232",".301",".361",".292","1.19",".278","0.88","7.87","4.04","21.2 %","9029"
"Jordan Montgomery","Yankees","131.1","3.43","553","123","54","50","16","43","0","0","128",".241",".301",".386",".297","1.26",".292","1.10","8.43","4.41","23.2 %","16511"
"David Robertson","Yankees","160.1","3.54","670","131","65","63","21","58","9","8","200",".217",".295",".379",".293","1.18",".287","1.18","7.35","3.25","29.9 %","8241"
"Luis Severino","Yankees","171.2","3.62","701","143","74","69","22","46","0","5","192",".220",".277",".371",".282","1.10",".278","1.15","7.50","3.24","27.4 %","15890"
"Masahiro Tanaka","Yankees","345.1","3.62","1415","318","156","139","50","70","0","11","337",".238",".283",".413",".299","1.12",".283","1.30","8.29","3.50","23.8 %","15764"
"Tommy Kahnle","Yankees","112.1","3.93","471","83","57","49","11","59","2","2","143",".202",".308",".342",".289","1.26",".281","0.88","6.65","3.70","30.4 %","11384"
"Sonny Gray","Yankees","375.2","4.00","1551","339","189","167","40","112","1","7","317",".237",".296",".367",".291","1.20",".278","0.96","8.12","3.76","20.4 %","12768"
"Chasen Shreve","Yankees","94.0","4.12","404","74","44","43","19","50","3","1","99",".210",".310",".425",".316","1.32",".234","1.82","7.09","4.55","24.5 %","10855"
"CC Sabathia","Yankees","596.2","4.49","2582","653","321","298","94","194","9","11","457",".275",".335",".456",".341","1.42",".306","1.42","9.85","4.16","17.7 %","404"
